식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,에너지,수분,단백질,지질,회분,탄수화물,당류,총식이섬유,칼슘,철,인,칼륨,나트륨,비타민 A,레티놀,베타카로틴,티아민,리보플라빈,니아신,비타민 C,비타민 D,콜레스테롤,총포화지방산,트랜스지방산,출처코드,출처명,1회 섭취참고량,외식업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D112-019000000-0001,미역튀각,D,음식,1,가정식(분석 함량),12,튀김류,12019,미역튀각,1201900,해당없음,120190000,해당없음,00,해당없음,443,6.2,13.24,33.9,25.5,21.14,11.36,31.1,616,6.54,224,282,5223,99,0,1194,0,0.06,0,0,0,0,5.42,0.48,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D112-029100000-0001,탕수육_새우,D,음식,1,가정식(분석 함량),12,튀김류,12029,탕수육,1202910,새우,120291000,해당없음,00,해당없음,116,74.6,6.65,4.2,1.5,13.02,6.44,2.1,27,0.13,130,81,492,23,17,81,0.24,0.045,0.07,0,0,53.36,0.71,0.07,3,식품의약품안전처,200,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-001000000-0001,가지나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13001,가지나물무침,1300100,해당없음,130010000,해당없음,00,해당없음,36,91.8,1.42,1.5,1.12,4.18,2.34,2.7,23,0.24,45,222,274,10,0,124,0,0.06,0.66,0.8,0,0,0.22,0,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-003000000-0001,고구마줄기나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13003,고구마줄기나물무침,1300300,해당없음,130030000,해당없음,00,해당없음,83,86.5,0.98,7,1.44,4.1,0,3.1,111,0.3,29,122,179,4,0,46,0,0.06,0.1,0.16,0,0,1.16,0.16,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-004000000-0001,고사리나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13004,고사리나물무침,1300400,해당없음,130040000,해당없음,00,해당없음,90,82.9,3.78,5.52,1.5,6.28,0.5,5.6,70,1.16,63,90,441,3,0,33,0,0.06,0.06,0,0,0,0.7,0.02,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-005000000-0001,고춧잎나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13005,고춧잎나물무침,1300500,해당없음,130050000,해당없음,00,해당없음,88,80.4,4.41,4.69,3.31,7.14,1.51,5.4,204,1.27,73,397,797,300,0,3600,1.189,0.178,0.2,0,0,0,0.74,0.09,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-006000000-0001,깻잎나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13006,깻잎나물무침,1300600,해당없음,130060000,해당없음,00,해당없음,78,85.2,2.68,5.18,1.92,5.04,2.04,2.4,93,0.78,53,522,362,194,0,2332,0,0.16,2.6,2.28,0,0,0.64,0.1,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-008000000-0001,냉이나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13008,냉이나물무침,1300800,해당없음,130080000,해당없음,00,해당없음,111,73.5,5.02,3.07,2.68,15.7,10.45,6,136,2.98,95,298,718,120,0,1444,0.133,0.183,10.633,0,0,0,0.48,0.03,3,식품의약품안전처,60,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-010000000-0001,도라지나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13010,도라지나물무침,1301000,해당없음,130100000,해당없음,00,해당없음,130,75.4,2.48,7.52,1.48,13.12,0.9,4.9,48,0.44,53,135,411,1,0,6,0,0.04,0.16,0,0,0,1,0.04,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-011000000-0001,돌나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13011,돌나물무침,1301100,해당없음,130110000,해당없음,00,해당없음,69,85.3,1.66,3.18,1.52,8.3,5.26,2,125,0.48,34,149,360,66,0,795,0.3,0.06,0.22,0,0,0,0.5,0.06,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-013000000-0001,머위대나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13013,머위대나물무침,1301300,해당없음,130130000,해당없음,00,해당없음,58,86.7,3.96,2.56,2,4.76,0.34,1.5,238,1.58,76,191,363,10,2,101,0.02,0.06,0.04,2.14,0,25.22,0.32,0.02,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-014000000-0001,무나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13014,무나물무침,1301400,해당없음,130140000,해당없음,00,해당없음,21,93.9,0.62,0.46,1.34,3.64,3.3,1.6,25,0.06,11,188,352,0,0,0,0.14,0.02,0.06,0.24,0,0,0.04,0,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-016000000-0001,방풍나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13016,방풍나물무침,1301600,해당없음,130160000,해당없음,00,해당없음,76,81.1,4.39,1.73,2.08,10.74,2.91,6.7,178,0.83,76,456,267,167,0,2000,0.225,0.325,0.038,0,0,0,0.23,0,3,식품의약품안전처,80,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-017000000-0001,배추나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13017,배추나물무침,1301700,해당없음,130170000,해당없음,00,해당없음,61,86.1,2.01,2.19,1.25,8.45,6.24,2.7,38,0.56,55,246,276,5,0,59,0,0.063,0,7.96,0,0,0.29,0.03,3,식품의약품안전처,80,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-019000000-0001,비름나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13019,비름나물무침,1301900,해당없음,130190000,해당없음,00,해당없음,73,84.8,3.46,4.05,2.04,5.7,0.86,3.8,195,0.86,57,339,335,225,0,2705,0.25,0.063,0.438,0,0,0,0.63,0.1,3,식품의약품안전처,80,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-021000000-0001,숙주나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13021,숙주나물무침,1302100,해당없음,130210000,해당없음,00,해당없음,35,91.9,2.22,1.58,1.3,2.96,1.58,1.7,15,0.36,36,80,403,2,0,22,0.02,0.06,0,1.06,0,0,0.12,0,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-022000000-0001,시금치나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13022,시금치나물무침,1302200,해당없음,130220000,해당없음,00,해당없음,69,86.2,3.74,4.46,2.2,3.36,0.1,2,86,1.28,58,627,136,154,0,1843,0,0.2,0.9,0.26,0,0,0.4,0.12,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-023000000-0001,시래기나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13023,시래기나물무침,1302300,해당없음,130230000,해당없음,00,해당없음,114,78.7,4.32,7.28,1.96,7.74,0.54,6.7,186,3.72,63,75,514,12,0,140,0.28,0.04,0.8,0.16,0,0,0.9,0.02,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-024000000-0001,씀바귀나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13024,씀바귀나물무침,1302400,해당없음,130240000,해당없음,00,해당없음,97,76.6,3.87,1.73,1.24,16.57,1.28,5.2,46,1.42,92,245,204,4,0,50,0,0.1,2.567,1.42,0,0,0.36,0.08,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-026000000-0001,열무나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13026,열무나물무침,1302600,해당없음,130260000,해당없음,00,해당없음,82,83.7,3.91,5.3,2.37,4.76,0.6,4,138,0.8,74,479,460,226,0,2718,0,0.1,0,3.49,0,0,0.66,0.18,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-026020000-0001,열무나물무침_된장,D,음식,1,가정식(분석 함량),13,나물·숙채류,13026,열무나물무침,1302602,된장,130260200,해당없음,00,해당없음,68,86.1,3.71,4.09,2,4.09,0.73,4,128,0.81,72,388,379,140,0,1680,0,0.2,0,0.33,0,0,0.52,0.12,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-028000000-0001,유채나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13028,유채나물무침,1302800,해당없음,130280000,해당없음,00,해당없음,96,77.5,5.8,4.6,4.29,7.82,1.98,4.7,161,1.01,102,453,1279,225,0,2699,0.056,0.2,0.1,3.02,0,0,0.59,0.04,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-029000000-0001,참나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13029,참나물무침,1302900,해당없음,130290000,해당없음,00,해당없음,60,88.5,2.51,3.69,1.14,4.14,0.67,3.7,88,0.64,45,153,218,21,0,247,0,0.044,0,1.07,0,0,0.58,0.01,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-030020000-0001,취나물_된장,D,음식,1,가정식(분석 함량),13,나물·숙채류,13030,취나물,1303002,된장,130300200,해당없음,00,해당없음,44,89.8,3.08,1.66,1.37,4.12,0.84,4.6,99,0.77,44,229,235,22,0,262,0,0.067,2.667,0.72,0,0,0.19,0.01,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-031030000-0001,취나물무침_취나물(마른것),D,음식,1,가정식(분석 함량),13,나물·숙채류,13031,취나물무침,1303103,취나물(마른것),130310300,해당없음,00,해당없음,89,83.3,3.62,5.4,1.28,6.4,0,6.4,175,1.82,38,99,133,129,0,1551,0,0.22,0,0.5,0,0,0.56,0.02,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-032000000-0001,콩나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13032,콩나물무침,1303200,해당없음,130320000,해당없음,00,해당없음,69,86.9,3.86,4.54,1.48,3.2,0.5,1.7,52,0.58,68,129,387,3,0,41,0.1,0.06,0.38,0.64,0,0,0.48,0,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-032010000-0001,콩나물무침_고춧가루,D,음식,1,가정식(분석 함량),13,나물·숙채류,13032,콩나물무침,1303201,고춧가루,130320100,해당없음,00,해당없음,93,83.1,3.93,5.93,1.13,5.93,1.9,5.5,37,0.81,83,253,203,13,0,153,0.156,0.089,0,0,0,0,0.83,0.01,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-033000000-0001,토란대나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13033,토란대나물무침,1303300,해당없음,130330000,해당없음,00,해당없음,68,85.6,5.14,3.38,1.61,4.22,0.39,3.4,304,2.48,98,104,222,6,0,70,0.078,0.044,0,0,0,24.41,0.46,0.02,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D113-035000000-0001,호박오가리나물무침,D,음식,1,가정식(분석 함량),13,나물·숙채류,13035,호박오가리나물무침,1303500,해당없음,130350000,해당없음,00,해당없음,201,56.3,6.14,10.01,6.1,21.46,6.82,7,69,1.72,133,600,1849,14,0,163,0,0.12,0,11.47,0,0,1.65,0.13,3,식품의약품안전처,100,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-001000000-0001,가죽나물무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14001,가죽나물무침,1400100,해당없음,140010000,해당없음,00,해당없음,76,80.9,5.83,1.35,1.85,10.05,3.81,6.2,69,2.38,109,448,276,23,0,274,0.55,0.075,0,2.55,0,0,0.19,0.01,3,식품의약품안전처,80,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-003090000-0001,겉절이_배추,D,음식,1,가정식(분석 함량),14,생채·무침류,14003,겉절이,1400309,배추,140030900,해당없음,00,해당없음,55,87.6,2.28,2.14,1.38,6.58,1.3,3.5,55,0.46,56,291,328,22,0,260,0.26,0.08,1.12,0.44,0,2.9,0.42,0.06,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-003110000-0001,겉절이_상추,D,음식,1,가정식(분석 함량),14,생채·무침류,14003,겉절이,1400311,상추,140031100,해당없음,00,해당없음,61,87.1,2.36,3.41,1.88,5.26,2.98,3.4,68,0.66,55,449,431,83,0,1000,0,0.12,0.69,0.13,0,5.8,0.38,0.02,3,식품의약품안전처,100,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-003180000-0001,겉절이_열무,D,음식,1,가정식(분석 함량),14,생채·무침류,14003,겉절이,1400318,열무,140031800,해당없음,00,해당없음,58,85.9,2.4,2.94,3.43,5.38,2.26,3,74,0.79,52,442,891,85,0,1025,0,0.12,0,0.54,0,0,0.46,0.08,3,식품의약품안전처,100,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-003260000-0001,겉절이_치커리,D,음식,1,가정식(분석 함량),14,생채·무침류,14003,겉절이,1400326,치커리,140032600,해당없음,00,해당없음,56,89.4,1.49,3.65,1.08,4.4,3.71,1.9,46,0.55,30,291,177,119,0,1426,0.19,0.08,0,0,0,0,0.42,0.11,3,식품의약품안전처,100,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-004140000-0001,골뱅이무침_소면,D,음식,1,가정식(분석 함량),14,생채·무침류,14004,골뱅이무침,1400414,소면,140041400,해당없음,00,해당없음,109,73.5,5.01,1.47,1.06,18.91,3.57,1.7,22,0.49,44,99,281,13,0,153,0,0.026,0,0,0,14.5,0.18,0,3,식품의약품안전처,230,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-005000000-0001,굴무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14005,굴무침,1400500,해당없음,140050000,해당없음,00,해당없음,77,82.4,6.68,2.31,1.3,7.3,2.74,3.5,34,1.91,113,232,204,52,31,256,0.2,0.275,1.688,6.59,0,28.38,0.61,0.03,3,식품의약품안전처,80,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-006000000-0001,김무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14006,김무침,1400600,해당없음,140060000,해당없음,00,해당없음,259,41.6,21.17,10.73,7.1,19.33,5.73,17.5,241,5.03,380,1287,1011,854,0,10244,0,1.4,6.333,11.33,0,0,1.53,0.07,3,식품의약품안전처,30,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-007000000-0001,낙지무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14007,낙지무침,1400700,해당없음,140070000,해당없음,00,해당없음,77,81.2,12.41,1.24,1.18,3.96,0.14,3.8,25,0.47,77,135,340,21,0,255,0,0.044,4.411,0.89,0,136.42,0.17,0,3,식품의약품안전처,180,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-008070000-0001,냉채_닭고기,D,음식,1,가정식(분석 함량),14,생채·무침류,14008,냉채,1400807,닭고기,140080700,해당없음,00,해당없음,90,79.1,13.08,1.95,0.9,5,4.8,2,17,0.42,112,201,151,32,5,325,0,0.142,0,0,0,46.32,0.5,0.01,3,식품의약품안전처,240,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-010000000-0001,다시마무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14010,다시마무침,1401000,해당없음,140100000,해당없음,00,해당없음,48,82,2.57,1.18,7.42,6.8,0,6.1,90,0.27,53,183,2759,23,3,229,0,0.044,0,0.21,0,13.03,0.28,0,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-013000000-0001,달래무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14013,달래무침,1401300,해당없음,140130000,해당없음,00,해당없음,63,85.8,2.92,3.02,2.23,6.07,3.83,2.9,56,0.93,61,269,567,53,0,639,0.083,0.1,0.417,6.72,0,0,0.4,0.02,3,식품의약품안전처,60,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-015000000-0001,도라지생채,D,음식,1,가정식(분석 함량),14,생채·무침류,14015,도라지생채,1401500,해당없음,140150000,해당없음,00,해당없음,77,80.1,2.06,0.51,1.13,16.15,5.25,4.6,35,0.42,48,162,283,8,0,98,0,0.05,0.106,0.66,0,0,0.13,0,3,식품의약품안전처,160,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-016250000-0001,두릅무침_초고추장,D,음식,1,가정식(분석 함량),14,생채·무침류,14016,두릅무침,1401625,초고추장,140162500,해당없음,00,해당없음,67,85.7,2.16,3.01,1.21,7.89,4.54,3.4,60,1.08,62,289,205,73,33,483,0.144,0.089,0.322,1.7,0,0,0.42,0,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-017000000-0001,마늘쫑무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14017,마늘쫑무침,1401700,해당없음,140170000,해당없음,00,해당없음,106,78.1,2.73,4.93,1.53,12.77,7.47,5.9,44,0.6,57,241,313,59,0,702,2,0.1,1.833,4.63,0,0,0.63,0.03,3,식품의약품안전처,30,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-018210000-0001,만두_월남쌈,D,음식,1,가정식(분석 함량),14,생채·무침류,14018,만두,1401821,월남쌈,140182100,해당없음,00,해당없음,118,76.1,5.94,4.97,0.75,12.25,5.5,1.8,19,0.39,105,145,230,17,1,189,0.18,0.06,0,0,0,31.58,2.13,0.02,3,식품의약품안전처,250,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-019000000-0001,무말랭이무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14019,무말랭이무침,1401900,해당없음,140190000,해당없음,00,해당없음,121,69.1,4.2,1.55,2.7,22.5,4.1,9.1,276,12.7,87,405,450,35,0,417,0,0.1,0.1,4.7,0,1.95,1.25,0.05,3,식품의약품안전처,20,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-020000000-0001,무생채,D,음식,1,가정식(분석 함량),14,생채·무침류,14020,무생채,1402000,해당없음,140200000,해당없음,00,해당없음,49,85.9,2.43,1.11,3.24,7.33,1.78,4.9,102,0.53,57,259,821,11,0,130,0.08,0.04,0.58,0.55,0,8.09,0.16,0.02,3,식품의약품안전처,150,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-020030000-0001,무생채_굴,D,음식,1,가정식(분석 함량),14,생채·무침류,14020,무생채,1402003,굴,140200300,해당없음,00,해당없음,50,87.5,3.68,1.26,1.69,5.92,4.04,2.6,30,1.21,58,231,366,49,13,425,0.09,0.147,0.25,33.28,0,12.81,0.19,0.01,3,식품의약품안전처,300,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-021080000-0001,묵무침_도토리묵,D,음식,1,가정식(분석 함량),14,생채·무침류,14021,묵무침,1402108,도토리묵,140210800,해당없음,00,해당없음,74,84.2,0.93,2.95,1.03,10.92,1.82,2,17,0.29,19,99,319,12,0,147,0,0.025,0.805,0.55,0,0,0.38,0.01,3,식품의약품안전처,200,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-022190000-0001,물회_오징어,D,음식,1,가정식(분석 함량),14,생채·무침류,14022,물회,1402219,오징어,140221900,해당없음,00,해당없음,49,88,6.19,1.2,1.33,3.26,2.1,1.5,7,0.12,98,147,364,4,0,51,0.063,0.029,9.511,6.89,0,68.29,0.19,0,3,식품의약품안전처,700,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-023000000-0001,미나리무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14023,미나리무침,1402300,해당없음,140230000,해당없음,00,해당없음,46,88.3,1.31,2.13,2.8,5.41,2.24,3.1,41,0.38,56,321,765,26,0,311,0.033,0.044,0,0.48,0,0,0.3,0.01,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-024000000-0001,미역초무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14024,미역초무침,1402400,해당없음,140240000,해당없음,00,해당없음,35,90.8,1.18,1.02,1.74,5.24,1.3,3.9,79,0.32,25,170,452,10,0,118,0,0.08,0.14,0,0,0,0.16,0,3,식품의약품안전처,50,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-025000000-0001,민들레잎무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14025,민들레잎무침,1402500,해당없음,140250000,해당없음,00,해당없음,81,81,2.69,2.33,1.68,12.32,8.16,5,76,1.11,62,380,248,108,0,1299,0,0.144,0,1.96,0,0,0.21,0.01,3,식품의약품안전처,90,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-027040000-0001,버섯무침_느타리버섯,D,음식,1,가정식(분석 함량),14,생채·무침류,14027,버섯무침,1402704,느타리버섯,140270400,해당없음,00,해당없음,59,89,2.74,3.77,1.09,3.44,0.09,4.7,8,0.36,95,117,311,0,0,2,0.073,0.08,1.34,0,0,0,0.46,0.01,3,식품의약품안전처,150,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-028000000-0001,부추무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14028,부추무침,1402800,해당없음,140280000,해당없음,00,해당없음,92,81.5,3.5,5.92,2.87,6.25,3.06,5.6,68,0.74,60,492,666,227,0,2722,0,0.13,1.43,0.57,0,14.73,0.79,0.02,3,식품의약품안전처,100,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-028170000-0001,부추무침_양파,D,음식,1,가정식(분석 함량),14,생채·무침류,14028,부추무침,1402817,양파,140281700,해당없음,00,해당없음,44,88.8,1.83,1.07,1.45,6.81,5.79,2.1,27,0.33,37,231,326,37,0,448,0.97,0.04,0,1.31,0,0,0.19,0.02,3,식품의약품안전처,100,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-029000000-0001,북어채무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14029,북어채무침,1402900,해당없음,140290000,해당없음,00,해당없음,188,53,28.4,2.91,3.65,12.05,5.59,4.4,144,1.03,357,652,756,28,0,332,0,0.327,0.827,0.24,0,110.75,0.51,0.02,3,식품의약품안전처,150,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-030020000-0001,샐러드_감자,D,음식,1,가정식(분석 함량),14,생채·무침류,14030,샐러드,1403002,감자,140300200,해당없음,00,해당없음,126,77.5,1.31,7.99,0.99,12.25,3.75,1.8,8,0.27,31,241,236,4,1,34,0.02,0.013,0.053,0.66,0,4.53,1.36,0.06,3,식품의약품안전처,150,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-030050000-0001,샐러드_단호박,D,음식,1,가정식(분석 함량),14,생채·무침류,14030,샐러드,1403005,단호박,140300500,해당없음,00,해당없음,162,70,1.48,8.97,0.78,18.77,14.3,2,17,0.41,39,299,70,96,2,1129,0.16,0.067,0,0.11,0,4.52,1.35,0.05,3,식품의약품안전처,150,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-030060000-0001,샐러드_닭가슴살,D,음식,1,가정식(분석 함량),14,생채·무침류,14030,샐러드,1403006,닭가슴살,140300600,해당없음,00,해당없음,135,77,7.17,9.49,0.95,5.36,3.25,3.1,41,0.47,115,255,88,13,4,108,0.08,0.113,0.507,0.12,0,10.85,1.21,0.03,3,식품의약품안전처,150,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-030120000-0001,샐러드_새싹,D,음식,1,가정식(분석 함량),14,생채·무침류,14030,샐러드,1403012,새싹,140301200,해당없음,00,해당없음,74,86.6,2.77,4.81,0.82,4.96,2.26,1.5,49,0.44,63,109,156,33,3,361,0,0.11,0.89,1.59,0,12.28,0.62,0.02,3,식품의약품안전처,100,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-030150000-0001,샐러드_양배추,D,음식,1,가정식(분석 함량),14,생채·무침류,14030,샐러드,1403015,양배추,140301500,해당없음,00,해당없음,150,76.2,2.69,11.71,0.89,8.47,7.95,2.6,28,0.33,55,289,97,26,4,263,0.193,0.047,0.313,0.91,0,5.14,1.79,0.05,3,식품의약품안전처,150,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-030160000-0001,샐러드_양상추,D,음식,1,가정식(분석 함량),14,생채·무침류,14030,샐러드,1403016,양상추,140301600,해당없음,00,해당없음,126,80.3,4.91,10.3,1.11,3.42,1.58,2.5,44,0.8,99,243,158,16,0,196,0.507,0.087,1.007,0.65,0,0,1.31,0.05,3,식품의약품안전처,150,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-030200000-0001,샐러드_옥수수,D,음식,1,가정식(분석 함량),14,생채·무침류,14030,샐러드,1403020,옥수수,140302000,해당없음,00,해당없음,166,71.8,1.96,11.94,1.61,12.68,6.01,2.6,15,0.54,45,176,483,25,4,252,0.056,0.038,0,0.37,0,5.82,1.88,0.09,3,식품의약품안전처,160,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-030220000-0001,샐러드_참치,D,음식,1,가정식(분석 함량),14,생채·무침류,14030,샐러드,1403022,참치,140302200,해당없음,00,해당없음,151,71.7,10.82,8.65,1.32,7.52,6.91,2.5,17,0.57,107,216,299,17,1,187,0.087,0.053,12.24,0.65,0,21.91,1.47,0.05,3,식품의약품안전처,150,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-030230000-0001,샐러드_채소,D,음식,1,가정식(분석 함량),14,생채·무침류,14030,샐러드,1403023,채소,140302300,해당없음,00,해당없음,145,79.8,1.16,13.35,0.63,5.1,4.72,1.7,23,0.18,29,219,74,38,1,436,0.075,0.044,0.106,0.8,0,7.08,2.11,0.06,3,식품의약품안전처,160,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D114-032000000-0001,양장피,D,음식,1,가정식(분석 함량),14,생채·무침류,14032,양장피,1403200,해당없음,140320000,해당없음,00,해당없음,133,73.3,7.3,6.63,1.85,10.95,0.44,1.9,62,1.78,96,174,496,134,9,1497,0.236,0.082,0.986,2.28,0,65.89,1.21,0.03,3,식품의약품안전처,220,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
