번호,식품명,주재료,조리법,추천태그,이미지태그,지도검색어,description,ingredient,recipe,source,original name
177,바지락칼국수,"조개, 밀면, 소금, 멸치육수",끓이기,"#한식, #한끼, #음식점, #배달, #그룹",#라멘,바지락칼국수,"김이 모락모락나는 칼국수 한 그릇이면 추위도 잠시나마 잊게 되는데요~ 후루룩 들어가는 속이 풀리는 국물, 거기다 쫄깃쫄깃 씹히는 바지락까지 완벽하게 어우러지는 맛이죠. 아내의 식탁이 맛을 내는 비법은 바로 황태채랍니다.","칼국수면%300g, 해감한 바지락조개%2컵, 황태채%한줌, 당근%1/4개, 애호박%1/3개, 대파%1/4개, 홍고추%1/2개, 청양고추%1개, 양파%1/3개, 물%2리터, 다시마(사방 6cm)%2장, 멸치%10마리, 대파(파란부분)%1/2대, 국간장%1/2큰술, 다진마늘%1작은술, 후춧가루%약간"," 냄비에 국물육수 재료를 넣고 끓이다가, 국물이 끓으면 다시마를 건져내고 10분 정도 더 끓여 주세요. 해감된 바지락은 한 번 더 비벼 씻은 후 흐르는 물에 헹궈주세요.(해감이 안된 바지락은 물에 비벼 씻은 후 소금물에 담가 어두운 곳에서 3시간 정도 해감시켜주세요) 당근과 양파, 애호박은 굵게 채를 썰고 대파와 홍고추, 청양고추는 어슷하게 썰어주세요. 냄비에 다시마멸치육수 8컵과 황태채를 넣고 3분 정도 끓이다가 바지락과 국물양념 재료를 넣어 끓여주세요. 육수에 야채를 넣고, 국물이 끓으면 칼국수면을 넣고 3분 정도 끓여주세요. 마지막에 청양고추와 홍고추를 넣고 소금으로 간을 가감한 후 불을 꺼주세요. 따뜻할 때 맛있게 즐겨주세요.",우리의 식탁,바지락칼국수
178,불고기김밥,"쇠불고기, 야채김밥",롤,"#한식, #한끼, #음식점, #배달, #간편식",#김밥,김밥,"속 재료가 가득 담긴 김밥을 보면 절로 흐뭇한 기분이 들죠~ 언제, 어느 때 먹어도 맛있는 불고기김밥을 말았는데요. 아내의 식탁 레시피에는 적채와 상추를 더해 발란스와 식감을 맞춰봤답니다. ","쇠고기(불고기용)%200g, 당근%1/2개, 오이%1/2개, 적채%1/6통, 잎상추%한줌, 김%3장, 밥%3공기, 식용유%적당량, 간장%1+1/2큰술, 설탕%1/2큰술, 맛술%1큰술, 다진마늘%1작은술, 참기름%1큰술, 후추%약간, 물%1/2컵, 식초%3큰술, 설탕(흰색)%3큰술, 소금%1/2작은술, 참기름%2큰술, 소금%1/2작은술, 깨소금%약간"," 적채는 얇게 채를 썰고 식초물 재료를 전자레인지에 1분 정도 돌려 설탕 입자가 녹으면 채썬 적채를 담가 20분정도 절여주세요. 당근과 오이는 곱게 채를 썰어주세요.(적채는 김밥을 쌀 때에는 물기를 꽉 짜서 사용해주세요.) 쇠고기는 키친타월에 올려 핏물을 제거하고, 먹기 좋은 크기로 썰어 불고기 양념에 10분정도 재워주세요. 달군 팬에 기름을 두르고 당근채를 넣은 후 약간의 소금으로 밑간 해 볶아주세요. 팬을 한 번 닦고 쇠고기를 넣은 후 물기가 없어질 때까지 볶아주세요. 고슬고슬한 밥에 밥양념 재료를 넣고 밥에 밑간을 해주세요. 김발 위에 김을 올리고, 밥을 고르게 편 후 상추-불고기-오이채-당근채-적채절임을 올리고 김발을 이용해서 돌돌 말아주세요. 먹기 좋은 크기로 잘라 불고기 김밥을 즐겨주세요.",우리의 식탁,불고기김밥
179,비빔국수,"밀면, 고추가루",비빔,"#한식, #한끼, #음식점, #배달, #그룹",#냉면,비빔국수,매콤달콤한 소스에 쫄깃한 면발을 비벼 먹는 비빔국수입니다.,"물, 사각어묵, 팔도비빔장, 떡, 소시지, 당면, 식용유, 밥, 팔도비빔장, 후추, 달걀노른자, 쪽파, 통깨, 식용유, 쭈꾸미, 대파, 당근, 떡, 고추가루, 팔도비빔장, 설탕, 후추","끓는 물에 사각어묵, 팔도비빔장(시그니처)을 넣어주세요. 소스가 끓으면 취향에 따라 소시지, 당면, 라면 등을 넣어주세요. 재료들이 눌어붙지 않게 잘 저어주고, 국물이 졸아들면 떡볶이 완성! 달군 팬에 식용유를 두르고 밥, 팔도비빔장(버터간장), 후추를 넣고 볶아주세요. 볶음밥을 그릇에 옮겨담고, 달걀 노른자와 쪽파, 통깨를 기호에 따라 뿌려주세요. 달걀 노른자를 터뜨려 먹으면 더욱 맛있어요! 달군 팬에 식용유를 두르고 쭈꾸미, 떡, 당근, 대파를 넣어주세요. 당근과 대파는 어슷 썰기 해주세요. 고추가루, 팔도비빔장(매운맛), 설탕, 후추를 넣고 볶아주면 완성!",만 개의 레시피,비빔국수
180,비빔냉면,"메밀면, 고추가루",비빔,"#한식, #한끼, #음식점, #배달, #그룹",#냉면,냉면,"쇠고기 편육, 배, 오이, 달걀 등을 얹어 매콤하게 비벼 먹는 냉면입니다.","쇠고기(사태), 무, 오이, 배, 달걀, 냉면사리, 양 념(1), 고춧가루, 설탕, 다진마늘, 다진생강, 식초, 소금, 양 념(2), 고춧가루, 설탕, 통깨, 다진마늘, 다진생강, 다진파, 참기름, 간장, 식초","1. 쇠고기는 페이퍼 타올을 이용해 3분간 핏물을 제거한다. 2. 무는 4 × 3 × 0.2cm 두께로 썰어 양념(1)의 고춧가루, 설탕, 다진 마늘, 다진 생강, 식초, 소금을 넣고 양념하여 10분간 절인다. 3. 오이와 배는 0.2 x 0.2 x 4cm 크기로 채 썬다. 4. 달걀은 냄비에 물과 넣어 센 불에 9분간 삶은 후, 껍질을 제거하여 반으로 썬다.[쇠고기 편육 만들기] 5. 쇠고기는 끓는 물에 넣고 센 불에서 25분간 삶은 후, 식혀 5 × 3 × 0.3cm 크기로 썬다.[냉면양념 만들기] 6. 양념(2)의 고춧가루, 설탕, 통깨, 다진 마늘, 다진 생강, 다진 파, 참기름, 간장, 식초를 섞어 냉면양념을 만든다.[만들기] 7. 끓는 물에 냉면사리를 넣어 1분간 삶는다. 8. 냉수에 4번 가볍게 헹군 후, 체에 밭쳐 5분간 물기를 제거한다. 9. 그릇에 냉면 사리를 담고, 냉면양념과 무, 오이, 배, 쇠고기 편육, 달걀을 올린다.사용조미료 : 양조간장, 백설탕, 참기름, 볶음참깨, 고춧가루, 식초",팜킷,비빔냉면
181,사골만두국,"만두, 소고기육수, 소금",끓이기,"#한식, #한끼, #음식점, #배달, #그룹",#국밥,만두국,사골국물에 만두를 넣고 끓인 만둣국입니다.,"떡국떡, 달걀, 대파, 김, 만두(냉동), 사골육수, 양 념, 다진마늘, 소금, 후춧가루","1. 떡국떡은 물에 담가 5분간 불린다.2. 지단을 0.2 × 5cm 크기로 채 썬다.3. 대파는 0.2cm 두께로 송송 썬다.4. 김은 0.5 × 3cm 크기로 채썬다5. 사골농축액을 물:농축액 0 1:9 의 비율로 섞는다.[끓이기]6. 냄비에 만두를 사골육수에 넣고 센 불에서 3분간 끓인다.7. 만두가 반쯤 익으면 떡국떡을 넣고 센 불에서 3분간 끓인다.8. 만두의 속까지 익었을 때 대파, 다진 마늘, 소금, 후춧가루를 넣고 간을 맞춘다.9. 사골만두국을 그릇에 담고 위에 달걀지단이랑 김가루를 올린다.사용조미료 : 순후추, 사골농축액",팜킷,사골만두국
182,새우튀김김밥,"새우튀김, 야채김밥",롤,"#한식, #한끼, #음식점, #배달, #간편식",#김밥,김밥,김밥 속에 새우튀김을 넣어 만든 이색 김밥입니다.,"쌀, 다시마, 맛살, 단무지, 우엉, 달걀, 시금치, 당근, 새우튀김, 마요네즈, 소금, 참기름, 통깨, 김","쌀은 깨끗이 씻어 다시마를 넣고 고슬고슬하게 밥을 짓는다. 시금치는 끓는 물에 소금을 넣고 데친다. 데친 시금치는 찬물에 헹구고 물기를 꼭 짠 후 소금, 참기름, 통깨를 넣고 조물조물 무친다. 당근은 채 썰어 소금을 넣고 볶는다. 맛살은 길게 찢어주고, 단무지는 4등분 한다. 우엉은 가늘게 채 썰어 조린다. 달걀은 풀어 지단을 부친 후 돌돌 말아 채 썬다. 새우는 머리와 꼬리를 제외하고 껍질을 벗긴 후 튀김가루를 묻혀 튀긴다. 튀긴 새우는 키친타월에 올려 기름기를 제거한다. 김발 위에 김을 깔고 밥을 올린 후 모든 재료를 넣고 만다.",Clova AI, 
183,소시지김밥,"가공육, 야채김밥",롤,"#한식, #한끼, #그룹",#김밥,김밥,밥 대신 소시지를 넣어 만든 김밥입니다.,"김, 소시지, 당근, 단무지, 김밥용우엉, 마요네즈, 식용유, 참기름, 참깨, 소금, 달걀, 소금, 소시지, 간장, 물엿, 시금치, 소금, 참기름, 밥, 참기름, 소금","당근은 길게 채썰고, 소시지는 칼집을 낸다. 끓는 물에 소금 1/6숟가락을 넣고 20초간 데쳐 찬물에 헹군다.시금치를 데칠 때 소금을 넣으면 시금치의 변색을 방지해요 시금치의 물기를 제거한 후 시금치양념을 넣고 버무린다.시금치 무침의 물기가 흥건해지지 않도록 물기를 제거해주세요 달군 팬에 기름을 두르고 고루 푼 달걀을 부어 두툼하게 부쳐 식힌다.달걀은 소금 1꼬집을 넣고 고루 풀고 완성된 지단은 김밥길이에 맞춰 잘라주세요 팬에 기름을 두른 후 당근, 소금을 넣고 볶는다. 팬에 기름을 두르고 소시지를 넣고 노릇하게 구워지면 소시지 양념을 넣고 조린다.타기 쉬우니 물 1숟가락을 넣고 조려도 좋아요 따뜻한 밥에 밥 밑간재료를 넣고 고루 섞는다 김->밥->단무지, 우엉,당근, 시금치,달걀지단, 소시지->마요네즈를 뿌려 김밥을 만다.김발을 이용하는 것이 편리해요 완성된 김밥을 자른 후 통깨를 뿌려 완성한다.",만 개의 레시피,소시지김밥
184,쇠고기김밥,"소고기, 김밥",롤,"#한식, #한끼, #배달, #간편식",#김밥,김밥,김밥 속에 불고기를 넣어 만든 김밥입니다.,"멥쌀, 물, 다진쇠고기(등심), 오이, 달걀, 깻잎, 게맛살, 김밥김, 식용유(볶음용), 양념(1), 간장, 설탕, 다진마늘, 참기름, 양념(2), 소금, 참기름","1. 쌀은 깨끗이 씻은 뒤 7시간 이상 충분히 5. 깻잎은 씻은 후 체에 밭쳐 3분간 물기를불린후 분량의 물을 부어 밥을 짓는다. 제거한다.(센불 5분, 약불 7분, 불을 끄고 5분간 6. 게맛살은 반으로 가른다.뜸들임)2. 쇠고기는 페이퍼 타월을 감싸 1분간 핏기를 [밥 양념하기]제거한 후 간장, 설탕, 다진 마늘, 참기름(1)을 7. 밥에 소금, 참기름(2)을 넣어 골고루 섞는다.넣고 섞어 2분간 재우고, 1분간 센불에서가열한 팬에 식용유를 두르고 3분간 볶는다. [김밥말기]3.오이는 세로로 8등분 하여 가운데 씨 부분을 8. 김밥 김 위에 밥을 올리고 김의 2/3지점제거한다. 까지 핀다.4.달걀은 체에 내려 알끈을 제거하고, 젓가락을 9. 깻잎, 쇠고기, 오이, 달걀, 게맛살을 올린다.이용해 30회 이상 젓는다. 센 불에서 1분간 10. 재료가 밖으로 나오지 않게 속을 감싸면서가열한 팬에 식용유를 두르고 20 × 1cm 말아준 후, 1cm 두께로 썬다.크기로 지단을 부쳐서 1cm 간격으로 썬다.사용조미료 : 참기름, 백설탕, 꽃소금, 식용유, 양조간장",팜킷,쇠고기김밥
185,쇠고기주먹밥,"소고기, 소금, 밥",롤,"#한식, #한끼, #간편식",#김밥,김밥,주먹밥 속에 불고기를 넣어 만든 영양만점 주먹밥입니다.,"쌀, 찹쌀, 물, 당근, 피망, 쇠고기(갈은것), 양 념, 참기름, 소금, 김가루","1. 쌀을 깨끗이 씻은 뒤 7시간 이상 충분히 불리고 찹쌀은 1시간 이상 불린 후 분량의 물을 부어밥을 짓는다.(센불 5분, 약불 7분, 불을 끄고 5분간 뜸들임)2. 당근과 피망은 잘게 다져서 볶고, 쇠고기 갈은 것도 볶는다.[주먹밥 만들기]3. 밥에 참기름과 소금을 넣고 간한 다음, 2(당근, 피망, 쇠고기)를 넣고 주먹밥을 만든다.4. 3에 김가루를 묻혀 완성한다.사용조미료 : 꽃소금, 참기름",팜킷,쇠고기주먹밥
186,수제비,"만두피, 소금, 멸치육수",끓이기,"#한식, #한끼, #음식점, #배달, #그룹",#국밥,수제비,멸치육수에 바지락을 넣어 시원한 맛을 더한 수제비입니다.,"감자, 애호박, 대파, 달걀, 다진마늘, 반 죽, 밀가루, 물, 육 수, 다시마, 멸치, 물, 양 념, 소금, 국간장, 후춧가루","1. 밀가루에 물을 넣고 10분간 치대며 반죽을 하고 비닐을 씌워, 냉장고에서 30분간 숙성한다.2. 감자와 애호박은 0.7cm 두께로 반달썬다.3. 대파는 0.3cm 두께로 어슷 썬다.4. 달걀은 체에 내려 알끈을 제거하고, 젓가락을 이용해 30회 이상 젓는다.[육수준비]5. 멸치는 내장과 머리를 떼고 중불에서 5분간 볶는다.6. 냄비에 물과 다시마, 멸치를 넣어 센 불에서 10분간 끓이고, 멸치와 다시마는 건진다.[만들기]7. 육수에 감자와 국간장을 넣고 센 불에서 7분간 끓이고, 밀가루 반죽을 떼어 넣어 센 불에서 3분간끓인다.8. 애호박, 다진 마늘, 대파를 넣고 센 불에서 5분간 끓이고, 달걀을 넣어 센 불에서 1분간 끓인다.사용조미료 : 국간장, 꽃소금, 순후추",팜킷,수제비
187,야채김밥,"김, 나물류, 단무지, 밥, 마른김",롤,"#한식, #한끼, #음식점, #배달, #간편식, #그룹",#김밥,김밥,다양한 속재료를 넣어 만든 김밥입니다.,"쌀, 물, 계란, 햄, 당근, 시금치, 단무지, 우엉, 김, 오이, 맛살, 양 념, 소금, 참기름"," [밥 양념하기]1. 쌀은 깨끗이 씻은 뒤 7시간 이상 충분히 불린 9. 밥은 소금, 참기름으로 밑간해서 고루 섞어준다.후 분량의 물을 부어 밥을 짓는다.(센불 5분,약불 7분, 불을 끄고 5분간 뜸들임) [김밥말기]2. 시금치는 끓는 물에 데친 후 5cm 길이로 썬다. 10. 김에 밥을 얇게 깔고 속 재료를 올려서 말아3. 오이는 5 x 0.3 x 0.3cm크기로 채썬다음 준다.소금에 10분정도 절이고, 물에 헹궈 물기를 11. 김밥에 참기름을 바른 후 한 입 크기로 썰빼준다. 어준다.4. 계란은 풀어서 부친 후 폭 1cm로 길게 썬다.5. 당근은 5 x 0.3 x 0.3cm크기로 채 썰어 기름두른 팬에 볶아준다.6.우엉은 5 x 0.3 x 0.3cm크기로 양념과 함께볶아준다.7. 햄은 폭, 두께 1cm로 길게 썰어 팬에 구워준다.8. 맛살은 팬에 구워서 준비한다.사용조미료 : 참기름, 꽃소금",팜킷,채소김밥
188,오징어튀김,"오징어, 밀가루",튀김,"#한식, #한끼, #배달, #간편식",#분식집,튀김,바삭한 튀김옷 속에 탱글탱글한 오징어가 들어있는 튀김요리입니다.,"오징어, 밀가루, 튀김가루, 옥수수전분, 물, 달걀, 식용유(튀김용), 양 념, 소금, 맛술, 후춧가루","1. 오징어는 1cm 두께로 링 모양으로 썬 후, 끓는 물에 2분간 데친다.2. 오징어는 체에 밭쳐 5분간 물기를 제거한다.[양념하기]3. 오징어를 넣고 소금, 후춧가루, 맛술을 넣어 양념한다.[만들기]4. 튀김가루, 옥수수 전분, 물, 달걀을 섞어 튀김반죽을 만든다.5. 오징어에 밀가루를 살짝 묻힌 후, 튀김반죽에 담갔다가 꺼낸다.6. 180˚C의 식용유에 4분간 튀긴다.사용조미료 : 꽃소금, 맛술, 순후추, 식용유",팜킷,오징어튀김
189,잔치국수,"밀면, 멸치육수",끓이기,"#한식, #한끼, #음식점, #배달, #그룹",#냉면,국수,"깔끔한 맛에 자주 찾게 되는 잔치국수 어떠세요? 국물 우려내기부터 고명 얹기까지- 레시피를 차근차근 따라가다 보면 정겨운 국수 한 그릇이 완성된답니다. 알찬 고명 얹고, 간장 살살 뿌려 후루룩 들이키는 잔치국수로 행복한 식탁을 채워보세요.","마른소면%200g, 애호박%1/2개, 달걀%2개, 부추%반줌, 청양고추%1개, 다시마멸치육수%6컵, 소금%약간, 식용유%약간, 국간장%1/2큰술, 소금%1/2작은술, 후추%약간, 간장%3큰술, 맛술%1큰술, 다진마늘%1/2큰술, 고춧가루%1/2작은술, 후추%약간"," 다시마멸치육수에 국물양념 재료를 넣어 따뜻하게 준비해주세요. 청양고추와 부추는 송송썰고, 애호박은 채썰어주세요. 달군 팬에 기름을 두르고 채썬 애호박 넣고 약간의 소금을 넣고 센불에서 살짝 볶아주세요. 달걀에 소금 한꼬집을 넣어 풀어주세요. 달군 팬에 약간의 기름을 두르고, 약한불에서 지단을 부친 후 지단을 돌돌말아 채를 썰어주세요 끓는 물에 소면을 펼쳐 넣고 물이 끓어오르면 2~3번 찬물을 넣어 국수를 삶고 찬물에 행궈 동그랗게 말아주세요. 송송 썬 청양고추와 부추에 양념간장 재료를 섞어 양념장을 만들어주세요. 동그랗게 말아진 국수를 그릇에 담고 달걀지단, 애호박, 양념장을 올리고 따뜻한 국수국물을 부어주세요(기호에 따라 잘게 썰은 신김치, 김가루, 간장에 삭힌 청양고추를 송송 썰어 곁들여도 맛있답니다.)",우리의 식탁,잔치국수
190,쟁반국수,"밀면, 고추가루",비빔,"#한식, #한끼, #음식점, #배달, #그룹",#냉면,족발,메밀면에 각종 채소와 과일을 넣고 매콤달콤한 소스를 곁들인 요리입니다.,"냉면육수, 초고추장, 깻잎, 오이, 양배추, 빨간파프리카, 노란파프리카, 메밀국수2줌(2인분), 삶은달걀, 연겨자, 들깨가루","시판 냉면육수 또는 동치미국물을 준비해 냉동실에서 3~4시간 동안 두어 살얼음으로 준비한다. 깻잎, 오이, 양배추, 파프리카는 얇게 채 썰어 준비한다. 초고추장(5큰술)과 연겨자(1숟가락), 들깨가루(3숟가락)를 넣고 섞어 비빔장을 만든다.연겨자와 들깨가루는 생략해도 좋아요. 끓는 물에 메밀국수를 넣고 4~5분 삶아 찬물에 헹궈 물기는 뺀다. 그릇에 채소, 메밀면을 놓고 살얼음으로 얼린 육수를 붓고 양념장을 올리고 삶은 달걀을 올려 완성한다.",만 개의 레시피,쟁반국수
191,쫄면,"밀면, 고추장, 식초",비빔,"#한식, #한끼, #음식점, #배달, #그룹",#냉면,쫄면,쫄면은 쫄깃한 면발과 매콤달콤한 소스가 어우러져 입맛을 돋우는 면 요리입니다.,"쫄면, 깻잎, 당근, 양배추, 오이, 상추, 양 념, 홍고추(간것), 참기름, 사이다, 고추장, 2배사과식초, 물엿, 설탕, 통깨, 다진마늘","1. 쫄면은 3분간 찬물에 담가 붙어있는 면을 뗀다.2. 깻잎, 양배추, 상추는 5 × 0.3cm 크기로 채 썬다.3. 당근과 오이는 5 × 0.3 × 0.3cm 크기로 채 썬다.[양념 만들기]4.홍고추(간 것), 참기름, 사이다, 고추장, 사과식초, 물엿, 설탕, 통깨, 다진 마늘을 섞어 양념을 만든다.[버무리기]5. 쫄면을 끓는 물에 4분간 삶은 후, 찬물에 헹궈 체에 밭쳐 30초간 물기를 제거한다.6. 쫄면에 깻잎, 당근, 양배추, 오이, 상추, 양념을 넣고 30회 이상 버무린다.사용조미료 : 참기름, 사이다, 고추장, 사과식초, 물엿, 백설탕, 볶음참깨",팜킷,쫄면
192,참치김밥,"김밥, 참치, 마요네즈",롤,"#한식, #한끼, #배달, #간편식",#김밥,김밥,김밥 속에 참치를 듬뿍 넣어 만든 김밥입니다.,"멥쌀, 물, 참치통조림, 마요네즈, 시금치, 당근, 단무지, 맛살, 깻잎, 햄, 달걀, 우엉절임, 김밥김, 식용유(볶음용), 밥 양념, 소금, 참기름, 시금치 양념, 다진마늘, 소금","1. 쌀은 깨끗이 씻은 뒤 7시간 이상 충분히 불린 8.달걀은 체에 내려 알끈을 제거하고, 젓가락을후 분량의 물을 부어 밥을 짓는다.(센불 5분, 이용해 15회 이상 저어 푼다.약불 7분, 불을 끄고 5분간 뜸들임) 9.8을 1cm 두께로 팬에 부쳐, 20 × 1cm 크기로 썬다.2. 참치 통조림은 체에 밭쳐 5분간 기름을제거한 후 마요네즈를 넣고 섞는다. [만들기]3.시금치는 끓는 물에 소금을 넣고 30초간 데쳐 10. 밥에 소금, 참기름, 통깨를 넣고 양념한다.수분을 제거한 후, 다진 마늘, 소금을 넣고 11. 팬에 식용유와 당근을 넣고 센 불에서 2분간10회 무친다. 볶는다.4.당근은 5 × 0.2 × 0.2cm 크기로 채 썬다. 12. 김밥 김의 2/3지점까지 밥을 핀 후, 깻잎5.햄은 20 × 0.7 × 0.7cm 크기로 썰고, 센 불에서 2장을 올리고 그 위에 참치를 올린다.1분간 가열한 팬에 식용유를 두르고 1분간 13. 시금치, 당근, 오이, 단무지, 게맛살, 달걀,굽는다. 우엉 절임을 넣는다.6. 단무지는 체에 밭쳐 3분간 물기를 제거한다. 14. 재료가 밖으로 나오지 않게 속을 감싸면서7. 게맛살은 결대로 2등분하고, 깻잎은 씻은 후 말아준 후, 1cm 두께로 썬다.체에 밭쳐 3분간 물기를 제거한다.사용조미료 : 마요네즈, 식용유, 소금, 참기름",팜킷,참치김밥
193,참치마요삼각김밥,"참치, 마요네즈, 밥",롤,"#한식, #한끼, #배달, #간편식",#김밥,김밥,참치캔으로 만드는 초간단 삼각김밥입니다.,"멥쌀, 물, 김, 참치소, 참치, 마요네즈, 양파, 양 념, 소금, 참기름","1. 쌀은 깨끗이 씻은 뒤 7시간 이상 충분히 불린 후 분량의 물을 부어 밥을 짓는다.(센불 5분,약불 7분, 불을 끄고 5분간 뜸들임)2. 참치는 체에 밭쳐 3분간 기름을 제거한다.3. 양파는 0.2 × 0.2 × 0.2cm 크기로 썬다.[양념하기]4. 밥에 소금, 참기름을 넣고 섞는다..5. 참치에 마요네즈와 양파를 넣고 섞어 참치소를 만든다.[모양 만들기]6. 밥을 삼각형 틀에 넣고, 가운데에 참치소를 넣은 뒤 다시 밥으로 덮는다.7. 김으로 겉을 감싼다.사용조미료 : 마요네즈, 꽃소금, 참기름",팜킷,참치마요삼각김밥
194,채소김밥,"나물류, 김밥",롤,"#한식, #한끼, #배달, #간편식",#김밥,김밥,다양한 채소를 넣어 만든 김밥입니다.,"쌀, 물, 계란, 햄, 당근, 시금치, 단무지, 우엉, 김, 오이, 맛살, 양 념, 소금, 참기름"," [밥 양념하기]1. 쌀은 깨끗이 씻은 뒤 7시간 이상 충분히 불린 9. 밥은 소금, 참기름으로 밑간해서 고루 섞어준다.후 분량의 물을 부어 밥을 짓는다.(센불 5분,약불 7분, 불을 끄고 5분간 뜸들임) [김밥말기]2. 시금치는 끓는 물에 데친 후 5cm 길이로 썬다. 10. 김에 밥을 얇게 깔고 속 재료를 올려서 말아3. 오이는 5 x 0.3 x 0.3cm크기로 채썬다음 준다.소금에 10분정도 절이고, 물에 헹궈 물기를 11. 김밥에 참기름을 바른 후 한 입 크기로 썰빼준다. 어준다.4. 계란은 풀어서 부친 후 폭 1cm로 길게 썬다.5. 당근은 5 x 0.3 x 0.3cm크기로 채 썰어 기름두른 팬에 볶아준다.6.우엉은 5 x 0.3 x 0.3cm크기로 양념과 함께볶아준다.7. 햄은 폭, 두께 1cm로 길게 썰어 팬에 구워준다.8. 맛살은 팬에 구워서 준비한다.사용조미료 : 참기름, 꽃소금",팜킷,채소김밥
195,채소떡볶이,"떡볶이, 채소류",조림,"#한식, #한끼, #배달, #간편식",#떡볶이,떡볶이,다양한 채소를 넣어 만든 떡볶이입니다.,"떡볶이떡, 애호박, 당근, 양파, 대파, 양념장, 다진마늘, 고추장, 올리고당, 참기름, 물, 양 념, 참깨, 식용유(볶음용)","1. 당근은 1 × 3cm 크기로 썰어준다.2. 양파는 3cm 길이로 두껍게 채 썰어준다.3. 애호박은 십자로 잘라 0.5cm 두께로 썰어준다.4. 대파는 3cm 길이로 어슷썬다.[양념장 만들기]5. 다진마늘, 고추장, 올리고당, 참기름, 물을 섞어 만든 양념장을 만든다.[볶기]6. 떡볶이떡은 식용유를 두른 팬에서 살짝만 볶아낸다.7. 양념장을 볶은 떡에 부어서 졸여준다.8. 국물이 조금 남았을 때 손질한 채소를 넣어 볶은 후 참기름, 깨소금을 넣는다.사용조미료 : 식용유, 고추장, 참기름, 볶음참깨, 올리고당",팜킷,채소떡볶이
196,채소튀김,"채소류, 밀가루",튀김,"#한식, #한끼, #배달, #간편식",#분식집,튀김,바삭한 튀김 옷 속에 다양한 채소가 들어있는 튀김요리입니다.,"고구마, 당근, 감자, 양파, 깻잎, 식용유(튀김용), 튀김반죽, 튀김가루, 물","1. 고구마, 당근, 감자는 5 × 0.5 × 0.5cm 크기로 채 썬다.2. 양파, 깻잎은 5 × 0.5cm 크기로 채 썬다.[튀김반죽 만들기]3. 튀김가루에 물을 넣고 섞어 튀김반죽을 만든다.[튀기기]4. 고구마, 당근, 감자, 양파, 깻잎에 튀김반죽을 넣어 섞어준다.5. 180˚C 온도의 식용유에 한국자씩 넣어 6분간 튀긴다.사용조미료 : 식용유",팜킷,채소튀김
197,치즈김밥,"치즈, 김밥",롤,"#한식, #한끼, #배달, #간편식",#김밥,김밥,김밥 속에 치즈를 넣어 만든 김밥입니다.,"멥쌀, 물, 달걀, 햄, 당근, 오이, 단무지, 우엉절임, 체다치즈, 깻잎, 게맛살, 김밥김, 식용유(볶음용), 양 념, 소금(1), 참기름, 소금(2)","1. 쌀은 깨끗이 씻은 뒤 7시간 이상 충분히 불린 6. 단무지와 우엉 절임은 체에 밭쳐 30초간후 분량의 물을 부어 밥을 짓는다.(센불 5분, 물기를 제거한다.약불 7분, 불을 끄고 5분간 뜸들임) 7. 체다 치즈는 껍질을 깐다.2.달걀은 체에 내려 알끈을 제거하고, 젓가락을 8. 깻잎은 씻어 물기를 제거한다.이용해 30회 이상 젓는다. 센 불에서 1분간가열한 팬에 식용유를 두르고 20 × 1cm 크기로 [밥 양념하기]지단을 부쳐서 1cm 간격으로 썬다. 9. 밥에 참기름, 소금(2)을 넣고 양념한다.3. 햄은 20 × 0.7 × 0.7cm 크기로 썰고,센 불에서 1분간 가열한 팬에 식용유를 [김밥 말기]두르고 1분간 굽는다. 10. 김밥 김 위에 밥을 김의 ⅔지점까지 핀다.4. 당근은 5 × 0.2 × 0.2cm 크기로 채 썰어, 11. 깻잎, 치즈, 달걀, 햄, 당근, 오이, 단무지, 우엉소금(1)과 함께 센 불에서 1분간 가열한 팬에 절임, 맛살을 올린다.식용유를 두르고 1분간 볶는다. 12. 재료가 밖으로 나오지 않게 속을 감싸면서5. 오이는 20 × 1cm로 잘라 씨를 제거한다. 말아준 후, 1cm 두께로 썬다.사용조미료 : 식용유, 꽃소금, 참기름",팜킷,치즈김밥
198,치즈떡볶이,"치즈, 떡볶이",조림,"#한식, #한끼, #음식점, #배달, #그룹",#떡볶이,떡볶이,쫄깃쫄깃한 떡과 고소한 치즈가 어우러진 떡볶이입니다.,"쌀떡, 어묵, 비엔나소시지, 모짜렐라치즈, 슬라이스치즈, 파마산치즈가루, 파슬리가루, 케첩, 고추장, 올리고당, 멸치육수, 다시마, 진간장, 다진마늘, 고운고춧가루, 굵은고춧가루, 후춧가루","쌀떡은 물에 불려두고, 어묵은 먹기 좋은 크기로 썬다. 비엔나소시지는 칼집을 낸다. 냄비에 멸치육수와 다시마를 넣고 끓이다가 끓어오르면 다시마를 건져낸다. 고추장, 올리고당, 진간장, 다진마늘, 고운고춧가루, 굵은고춧가루, 후춧가루를 넣고 끓여 떡볶이 양념을 만든다. 프라이팬에 멸치육수를 붓고 끓으면 떡과 어묵, 비엔나소시지를 넣고 끓인다. 떡이 말랑해지면 만들어둔 떡볶이 양념을 넣고 졸인다. 거의 다 졸여지면 모차렐라치즈를 뿌리고 뚜껑을 덮어 치즈를 녹인다. 접시에 떡볶이를 담고 그 위에 슬라이스치즈와 파마산",Clova AI, 
