,구분,음식명,영문,음식설명,식품명,식품대분류명
159,볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular.",떡볶이_(눈치떡)매운 짜장 떡볶이 소,볶음류
160,볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular.",떡볶이_(눈치떡)청양 국물 떡볶이 대,볶음류
161,볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular.",떡볶이_(눈치떡)청양 국물 떡볶이 소,볶음류
162,볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular.",떡볶이_(눈치떡)청양 오뎅 떡볶이 대,볶음류
163,볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular.",떡볶이_(눈치떡)청양 오뎅 떡볶이 소,볶음류
164,볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular.",떡볶이_(피자헤븐)치즈떡볶이,볶음류
165,면,메밀국수,Buckwheat Noodles ,Cooked buckwheat noodles chilled and served with a dipping sauce made of dried fish and seaweed.,메밀국수_온면,면 및 만두류
166,볶음,멸치볶음,Sauteed Dried Anchovies,A side dish of dried anchovies pan-fried with soy sauce or red chili pepper paste and glazed with sugar or maltose syrup.,멸치볶음,볶음류
167,볶음,멸치볶음,Sauteed Dried Anchovies,A side dish of dried anchovies pan-fried with soy sauce or red chili pepper paste and glazed with sugar or maltose syrup.,멸치볶음_견과류,볶음류
168,볶음,멸치볶음,Sauteed Dried Anchovies,A side dish of dried anchovies pan-fried with soy sauce or red chili pepper paste and glazed with sugar or maltose syrup.,멸치볶음_꽈리고추,볶음류
169,볶음,멸치볶음,Sauteed Dried Anchovies,A side dish of dried anchovies pan-fried with soy sauce or red chili pepper paste and glazed with sugar or maltose syrup.,멸치볶음_마늘쫑,볶음류
170,볶음,멸치볶음,Sauteed Dried Anchovies,A side dish of dried anchovies pan-fried with soy sauce or red chili pepper paste and glazed with sugar or maltose syrup.,멸치볶음_풋고추,볶음류
171,볶음,멸치볶음,Sauteed Dried Anchovies,A side dish of dried anchovies pan-fried with soy sauce or red chili pepper paste and glazed with sugar or maltose syrup.,멸치볶음_풋고추,볶음류
172,생채,무말랭이무침,Seasoned Dried Radish ,A side dish of julienned white radish that has been dried in the open air (a process that preserves vegetables over the winter) then briefly soaked in water and seasoned.,무말랭이무침,생채·무침류
173,생채,무말랭이무침,Seasoned Dried Radish ,A side dish of julienned white radish that has been dried in the open air (a process that preserves vegetables over the winter) then briefly soaked in water and seasoned.,무말랭이무침,생채·무침류
174,생채,무생채,Julienned Radish Salad,"A salad of julienned white radish dressed with a mixture of red chili pepper powder, vinegar, salt, and sugar. Also called muchae-muchim.",무생채,생채·무침류
175,생채,무생채,Julienned Radish Salad,"A salad of julienned white radish dressed with a mixture of red chili pepper powder, vinegar, salt, and sugar. Also called muchae-muchim.",무생채_굴,생채·무침류
176,떡,무지개떡,Rainbow Rice Cake,"Rice cake with different colored layers made of rice flour, salt, sugar, and coloring.",무지개떡,"곡류, 서류 제품"
177,김치,물김치,Water Kimchi ,"A variation of kimchi in water. Both the water and the crunchy pickled vegetable in it are eaten. This kind of kimchi includes sliced radish and cabbage kimchi (nabak-kimchi), kimchi made with whole baby white radishes and their stalks (yeolmu-kimchi), deodeok root kimchi (deodeok-mul-kimchi ), and ginseng, radish and cabbage kimchi (ginseng-nabak-kimchi).",물김치_돌나물,김치류
178,김치,물김치,Water Kimchi ,"A variation of kimchi in water. Both the water and the crunchy pickled vegetable in it are eaten. This kind of kimchi includes sliced radish and cabbage kimchi (nabak-kimchi), kimchi made with whole baby white radishes and their stalks (yeolmu-kimchi), deodeok root kimchi (deodeok-mul-kimchi ), and ginseng, radish and cabbage kimchi (ginseng-nabak-kimchi).",물김치_(삼삼한밥상(Ⅶ))비타 오이 물김치,김치류
179,숙채,미나리무침,Blanched and Seasoned Minari ,Blanched minari (Korean parsley) mixed with a spicy sauce.,미나리무침,생채·무침류
180,음청류,미숫가루,Grain Powder Drink Mix ,"A powder made from steamed rice that has been dried, toasted, and ground. lt is mixed with cold water and sugar or honey to make a popular summer drink.",미숫가루,음료 및 차류
181,"국,탕",미역국,Seaweed Soup ,"A soup made of seaweed that is soaked, drained, then cooked in a broth of beef or dried anchovies. This soup is traditionally given to mothers after childbirth.",미역국,국 및 탕류
182,"국,탕",미역국,Seaweed Soup ,"A soup made of seaweed that is soaked, drained, then cooked in a broth of beef or dried anchovies. This soup is traditionally given to mothers after childbirth.",미역국_대합,국 및 탕류
183,"국,탕",미역국,Seaweed Soup ,"A soup made of seaweed that is soaked, drained, then cooked in a broth of beef or dried anchovies. This soup is traditionally given to mothers after childbirth.",미역국_새우,국 및 탕류
184,"국,탕",미역국,Seaweed Soup ,"A soup made of seaweed that is soaked, drained, then cooked in a broth of beef or dried anchovies. This soup is traditionally given to mothers after childbirth.",미역국_쇠고기,국 및 탕류
185,"국,탕",미역국,Seaweed Soup ,"A soup made of seaweed that is soaked, drained, then cooked in a broth of beef or dried anchovies. This soup is traditionally given to mothers after childbirth.",미역국_(삼삼한밥상(Ⅶ))바지락 미역국,국 및 탕류
186,"국,탕",미역국,Seaweed Soup ,"A soup made of seaweed that is soaked, drained, then cooked in a broth of beef or dried anchovies. This soup is traditionally given to mothers after childbirth.",미역국_쇠고기,국 및 탕류
187,"국,탕",미역국,Seaweed Soup ,"A soup made of seaweed that is soaked, drained, then cooked in a broth of beef or dried anchovies. This soup is traditionally given to mothers after childbirth.",미역국_홍합,국 및 탕류
188,죽,미음,Rice Gruel ,"A thin, clear gruel made of one part rice and ten parts water. This is mostly given to patients because it is easy to drink.",미음,죽 및 스프류
189,죽,미음,Rice Gruel ,"A thin, clear gruel made of one part rice and ten parts water. This is mostly given to patients because it is easy to drink.",미음_칠분도미,죽 및 스프류
190,죽,미음,Rice Gruel ,"A thin, clear gruel made of one part rice and ten parts water. This is mostly given to patients because it is easy to drink.",미음_현미,죽 및 스프류
191,김치,배추김치,Chinese Cabbage Kimchi ,"The most basic type of kimchi, made of whole Chinese cabbages. The cabbages are cut in half and then salted or soaked in salt water. Alter the leaves have lost some of their water, a mixture of julienned white radish, garlic, red chili pepper powder, green onions, fish sauce and ginger is spread over the layers of leaves. The cabbages are put in jars and left to season until the flavor is fully absorbed.",배추김치,김치류
192,김치,배추김치,Chinese Cabbage Kimchi ,"The most basic type of kimchi, made of whole Chinese cabbages. The cabbages are cut in half and then salted or soaked in salt water. Alter the leaves have lost some of their water, a mixture of julienned white radish, garlic, red chili pepper powder, green onions, fish sauce and ginger is spread over the layers of leaves. The cabbages are put in jars and left to season until the flavor is fully absorbed.",배추김치_가을재배,김치류
193,김치,배추김치,Chinese Cabbage Kimchi ,"The most basic type of kimchi, made of whole Chinese cabbages. The cabbages are cut in half and then salted or soaked in salt water. Alter the leaves have lost some of their water, a mixture of julienned white radish, garlic, red chili pepper powder, green onions, fish sauce and ginger is spread over the layers of leaves. The cabbages are put in jars and left to season until the flavor is fully absorbed.",배추김치_봄재배,김치류
194,김치,배추김치,Chinese Cabbage Kimchi ,"The most basic type of kimchi, made of whole Chinese cabbages. The cabbages are cut in half and then salted or soaked in salt water. Alter the leaves have lost some of their water, a mixture of julienned white radish, garlic, red chili pepper powder, green onions, fish sauce and ginger is spread over the layers of leaves. The cabbages are put in jars and left to season until the flavor is fully absorbed.",배추김치_여름재배,김치류
195,김치,백김치,White Chinese Cabbage Kimchi ,A version of cabbage kimchi with very small amounts of red chili pepper powder used only for seasoning the julienned radishes in the sauce.,백김치,김치류
196,떡,백설기,Steamed White Rice Cake ,A white rice cake is cooked in a large steamer. This cake has a relatively coarse texture and is chewy and sweet. lt is traditionally shared with friends and neighbors at the feast celebrating the hundredth day after a baby's birth.,백설기,"곡류, 서류 제품"
197,떡,백설기,Steamed White Rice Cake ,A white rice cake is cooked in a large steamer. This cake has a relatively coarse texture and is chewy and sweet. lt is traditionally shared with friends and neighbors at the feast celebrating the hundredth day after a baby's birth.,백설기_검정콩,"곡류, 서류 제품"
198,볶음,버섯볶음,Stir-fried Mushroom ,"A stir-fry of mushrooms, onions and beef with seasoned soy sauce.",버섯볶음_느타리,볶음류
199,볶음,버섯볶음,Stir-fried Mushroom ,"A stir-fry of mushrooms, onions and beef with seasoned soy sauce.",버섯볶음_새송이,볶음류
200,볶음,버섯볶음,Stir-fried Mushroom ,"A stir-fry of mushrooms, onions and beef with seasoned soy sauce.",버섯볶음_(삼삼한밥상(Ⅶ))만가닥버섯볶음,볶음류
201,볶음,버섯볶음,Stir-fried Mushroom ,"A stir-fry of mushrooms, onions and beef with seasoned soy sauce.",버섯볶음_양송이,볶음류
202,볶음,버섯볶음,Stir-fried Mushroom ,"A stir-fry of mushrooms, onions and beef with seasoned soy sauce.",버섯볶음_표고버섯,볶음류
203,전골,버섯전골,Mixed Mushroom Hot Pot ,"A hot pot of mushrooms including shiitake, coral, and oyster mushrooms, sliced and laid together with seasoned meat and minari (Korean parsley).",버섯전골,찌개 및 전골류
204,밥,보리밥,Barley Rice ,Rice cooked with barley.,보리밥,밥류
205,김치,보쌈김치,Wrapped Kimchi ,"A kimchi made of quartered cabbages with kimchi seasonings spread between the layers of leaves and wrapped separately in a large cabbage leaf. The fist-sized bundles are put into jars and left to season together. When served, the individual bundles are put on dishes, unwrapped and eaten. This is a specialty of the Gaeseong region.",보쌈김치,김치류
206,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥_김치,밥류
207,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥_새우,밥류
208,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥_오므라이스,밥류
209,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥_해물,밥류
210,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥,밥류
211,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥_계란,밥류
212,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥_김치,밥류
213,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥_새우,밥류
214,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥_쇠고기,밥류
215,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥_참치,밥류
216,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥_채소,밥류
217,밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.,볶음밥_표고버섯,밥류
218,찌개,부대찌개,G.1.Stew ,"A spicy stew of wieners, luncheon meat, macaroni and vegetables. This dish originated from ingredients that could be scavenged from the U.S. military camps in Korea during the Korean War.",부대찌개,찌개 및 전골류
219,찌개,부대찌개,G.1.Stew ,"A spicy stew of wieners, luncheon meat, macaroni and vegetables. This dish originated from ingredients that could be scavenged from the U.S. military camps in Korea during the Korean War.",부대찌개,찌개 및 전골류
220,김치,부추김치,Chive Kimchi,"A kimchi made of chives mixed with fish sauce, red chili pepper powder, crushed garlic and some glutinous rice starch.",부추김치,김치류
221,"전,적",부추전,Chive Pancake ,"Pan-fried fiat cakes made of chives mixed in a flour batter, often with green chili peppers and shelled clams.",부추전,전·적 및 부침류
222,조림,북어조림,Braised Dried Pollack,"Dried pollack braised in soy sauce, green anions and garlic until the flavor is fully absorbed by the fish. Served as a side dish.",북어조림,조림류
223,찜,북어찜,Simmered Dried Pollack,Seasoned dried pollack simmered over low heat in a small amount of water.,북어찜,찜류
224,구이,불고기,Bulgogi (Korean Barbecue),"Thin slices of beef marinated in a mixture of soy sauce, sugar, green onions, garlic, black pepper, sesame seeds, and sesame oil and grilled at the table. Bulgogi is one of Korea's most popular beef dishes.",불고기_쇠고기,구이류
225,구이,불고기,Bulgogi (Korean Barbecue),"Thin slices of beef marinated in a mixture of soy sauce, sugar, green onions, garlic, black pepper, sesame seeds, and sesame oil and grilled at the table. Bulgogi is one of Korea's most popular beef dishes.",불고기_오리,구이류
226,구이,불고기,Bulgogi (Korean Barbecue),"Thin slices of beef marinated in a mixture of soy sauce, sugar, green onions, garlic, black pepper, sesame seeds, and sesame oil and grilled at the table. Bulgogi is one of Korea's most popular beef dishes.",불고기_꿩,구이류
227,구이,불고기,Bulgogi (Korean Barbecue),"Thin slices of beef marinated in a mixture of soy sauce, sugar, green onions, garlic, black pepper, sesame seeds, and sesame oil and grilled at the table. Bulgogi is one of Korea's most popular beef dishes.",불고기_삼겹살_오징어,구이류
228,찜,붕어찜,Braised Crusian Carp,Carp braised in a soybean paste (doenjang) broth.,붕어찜,찜류
229,면,비빔국수,Mixed Noodles,"Cooked noodles mixed with vegetables, meat and a spicy sauce.",비빔국수,면 및 만두류
230,밥,비빔밥,Bibimbap (Rice Mixed with Vegetables and Beef),"One of the most popular Korean dishes, bibimbap consists of a bowl of rice topped with fresh and cooked vegetables and red chili pepper paste. Everything is mixed together before eating. Seasoned raw beef, grilled beef, or a fried egg can also be added. There are many styles and regional variations of this dish. The cities of Jeonju and Jinju are famous for their distinctive bibimbap and there are other variations such as hot stone pot (dolsot) bibimbap, soybean sprout bibimbap, and vegetable bibimbap. Goldongban is the royal court term for bibimbap.",비빔밥,밥류
231,밥,비빔밥,Bibimbap (Rice Mixed with Vegetables and Beef),"One of the most popular Korean dishes, bibimbap consists of a bowl of rice topped with fresh and cooked vegetables and red chili pepper paste. Everything is mixed together before eating. Seasoned raw beef, grilled beef, or a fried egg can also be added. There are many styles and regional variations of this dish. The cities of Jeonju and Jinju are famous for their distinctive bibimbap and there are other variations such as hot stone pot (dolsot) bibimbap, soybean sprout bibimbap, and vegetable bibimbap. Goldongban is the royal court term for bibimbap.",비빔밥_약초,밥류
232,밥,비빔밥,Bibimbap (Rice Mixed with Vegetables and Beef),"One of the most popular Korean dishes, bibimbap consists of a bowl of rice topped with fresh and cooked vegetables and red chili pepper paste. Everything is mixed together before eating. Seasoned raw beef, grilled beef, or a fried egg can also be added. There are many styles and regional variations of this dish. The cities of Jeonju and Jinju are famous for their distinctive bibimbap and there are other variations such as hot stone pot (dolsot) bibimbap, soybean sprout bibimbap, and vegetable bibimbap. Goldongban is the royal court term for bibimbap.",비빔밥,밥류
233,밥,비빔밥,Bibimbap (Rice Mixed with Vegetables and Beef),"One of the most popular Korean dishes, bibimbap consists of a bowl of rice topped with fresh and cooked vegetables and red chili pepper paste. Everything is mixed together before eating. Seasoned raw beef, grilled beef, or a fried egg can also be added. There are many styles and regional variations of this dish. The cities of Jeonju and Jinju are famous for their distinctive bibimbap and there are other variations such as hot stone pot (dolsot) bibimbap, soybean sprout bibimbap, and vegetable bibimbap. Goldongban is the royal court term for bibimbap.",비빔밥_돌솥,밥류
234,밥,비빔밥,Bibimbap (Rice Mixed with Vegetables and Beef),"One of the most popular Korean dishes, bibimbap consists of a bowl of rice topped with fresh and cooked vegetables and red chili pepper paste. Everything is mixed together before eating. Seasoned raw beef, grilled beef, or a fried egg can also be added. There are many styles and regional variations of this dish. The cities of Jeonju and Jinju are famous for their distinctive bibimbap and there are other variations such as hot stone pot (dolsot) bibimbap, soybean sprout bibimbap, and vegetable bibimbap. Goldongban is the royal court term for bibimbap.",비빔밥_육회,밥류
235,찜,사태찜,Simmered Beef Shank,"Beef shanks simmered for a long period with white radish, carrots, shiitake mushrooms, spices and soy sauce in a meat broth.",사태찜_쇠고기,찜류
236,한과,산자,Deep-fried Sweet Rice Cookies,"Rice cookies made of a glutinous rice flour dough cut into squares, deep-fried, and coated with puffed rice.",산자,빵 및 과자류
237,"전,적",산적,Beef and Vegetable Brochette (1),"Grilled skewers of beef and vegetables. The brochettes can also be dipped in flour and egg, then pan-fried.",산적_돼지고기,전·적 및 부침류
238,구이,삼겹살구이,Grilled Pork Belly,"Strips of pork belly (the same cut as bacon but not smoked) mixed with a spicy red chili pepper paste sauce and grilled, or grilled plain and dipped in a mixture of sesame oil and salt before eating.",삼겹살구이,구이류
239,구이,삼겹살구이,Grilled Pork Belly,"Strips of pork belly (the same cut as bacon but not smoked) mixed with a spicy red chili pepper paste sauce and grilled, or grilled plain and dipped in a mixture of sesame oil and salt before eating.",삼겹살구이_고추장,구이류
240,"국,탕",삼계탕,Chicken Ginseng Soup,"A soup made of a whole young chicken stuffed with ginseng, sticky rice, garlic, jujubes (Korean dates), and chestnuts, then cooked in a clear broth. With meat, vegetables, rice and hot soup all in one dish, this soup is popular for its wholesome flavor and health benefits.",삼계탕,국 및 탕류
241,젓갈,새우젓,Pickled Shrimp,A salty fish sauce made of baby shrimp pickled in salt. This sauce is used to make kimchi and to season soups and other dishes with a salty flavor.,새우젓_양념,장아찌·절임류
242,마른찬,새우튀김,Deep-fried Shrimp,"Shrimp coated in a flour and egg batter, then deep-fried.",새우튀김_(꾸브라꼬 숯불두마리 치킨)새우링튀김,튀김류
243,"전,적",생선전,Pan-fried Fish Fillets,"Fish fillet coated in flour, dipped in egg, and pan-fried. Commonly used fish for this dish include halibut, cod, pollack and shrimp. Also called jeonyueo.",생선전_가자미,전·적 및 부침류
244,"국,탕",설렁탕,Ox Bone Soup,"A milky soup made by simmering the bones, head, and other parts of the cow for a long period.",설렁탕,국 및 탕류
245,떡,송편,Half-moon Rice Cake,"Half-moon shaped rice cakes made of rice flour dough stuffed with various fillings. A traditional festival dish served on Chuseok, the Korean harvest festival.",송편_깨,"곡류, 서류 제품"
246,떡,송편,Half-moon Rice Cake,"Half-moon shaped rice cakes made of rice flour dough stuffed with various fillings. A traditional festival dish served on Chuseok, the Korean harvest festival.",송편_검정콩,"곡류, 서류 제품"
247,떡,송편,Half-moon Rice Cake,"Half-moon shaped rice cakes made of rice flour dough stuffed with various fillings. A traditional festival dish served on Chuseok, the Korean harvest festival.",송편_깨,"곡류, 서류 제품"
248,떡,송편,Half-moon Rice Cake,"Half-moon shaped rice cakes made of rice flour dough stuffed with various fillings. A traditional festival dish served on Chuseok, the Korean harvest festival.",송편_콩,"곡류, 서류 제품"
249,떡,송편,Half-moon Rice Cake,"Half-moon shaped rice cakes made of rice flour dough stuffed with various fillings. A traditional festival dish served on Chuseok, the Korean harvest festival.",송편_팥,"곡류, 서류 제품"
250,"전,적",쇠고기산적,Beef Brochette,"Grilled brochettes of marinated slices of beef, green onions and mushrooms.",쇠고기산적,전·적 및 부침류
251,전골,쇠고기전골,Beef Hot Pot,A hot pot of beef with vegetables cooked together in a little broth. This dish is usually cooked and served at the table.,쇠고기전골,찌개 및 전골류
252,떡,수수경단,Millet Balls,"Millet flour cakes formed into balls, cooked in water, then rolled in ground red beans or beans. Also called susu-pattteok.",수수경단,"곡류, 서류 제품"
253,편육,수육,Boiled Beef Slices,"Pieces of beef cooked in boiling water, then cut into thin slices and served hot.",수육_쇠고기,찜류
254,수제비,수제비,Sujebi Soup,"A soup with summer squash, other vegetables, and small dumplings. The dumplings are made of flour dough that is hand broken into little pieces and dropped into the hot soup right before serving.",수제비_(삼삼한밥상(Ⅶ))얼큰 콩나물 수제비,면 및 만두류
255,수제비,수제비,Sujebi Soup,"A soup with summer squash, other vegetables, and small dumplings. The dumplings are made of flour dough that is hand broken into little pieces and dropped into the hot soup right before serving.",수제비,면 및 만두류
256,순대,순대,Korean-style Blood Sausage,"A sausage of pork blood, vegetables, and rice or noodles.",순대,찜류
257,순대,순대,Korean-style Blood Sausage,"A sausage of pork blood, vegetables, and rice or noodles.",순대,찜류
258,찌개,순두부찌개,Spicy Soft Dubu Stew,"A spicy red stew with soft dubu (soybean curd / tofu), soybean paste (doenjang), fish sauce, clams, summer squash, and some meat.",순두부찌개_김치,찌개 및 전골류
259,음청류,식혜,Rice Punch,"A traditional sweet dessert drink made of malt and rice. When served, there are often rice grains floating on top. Also called dansul.",식혜,음료 및 차류
260,떡,쑥떡,Mugwort Rice Cake ,"Dark green rice cakes made of rice flour and mugwort. Mugwort can also be added to buckwheat, barley or sweet potato starch to make similar cakes.",쑥떡,"곡류, 서류 제품"
261,"국,탕",알탕,Spicy Fish Roe Stew ,"A stew with pollack, cod or sea bream roe, spiced with red chili pepper powder, garlic, ginger and green onions. Altang can also refer to a pickled spicy pollack roe stew.",알탕,국 및 탕류
262,한과,약과,Deep-fried Honey Cookies,"Deep-fried cookies made from a dough of wheat flour, sesame oil, soju, and honey. The cookies are pressed in a wood mold into round or flower shapes, then deep-fried and dipped in honey.",약과,빵 및 과자류
263,조림,연근조림,Glazed Lotus Roots ,"Round slices of lotus root simmered in soy sauce, sugar and rice wine until glazed. Garnished with sesame seeds.",연근조림,조림류
264,조림,연근조림,Glazed Lotus Roots ,"Round slices of lotus root simmered in soy sauce, sugar and rice wine until glazed. Garnished with sesame seeds.",연근조림,조림류
265,김치,열무김치,Young Summer Radish Kimchi,A kimchi made of young summer radish (smaller roots with larger leaves). This kimchi has a lot of water and is lightly seasoned.,열무김치,김치류
266,밥,오곡밥,Five Grain Rice ,"A mixed rice with corn, red beans, beans, white rice, glutinous rice, and glutinous millet. Traditionally, this is the rice served on the first full moon of the lunar calendar.",오곡밥,밥류
267,"국,탕",오리탕,Duck Stew ,"A stew of duck slowly simmered with onions, garlic, radishes, and other vegetables.",오리탕,찌개 및 전골류
268,생채,오이무침,Seasoned Cucumbers,"Sliced cucumbers lightly salted and mixed with julienned white radish, red chili pepper powder, green onions, garlic and ginger. Also called oi-saengchae.",오이무침_부추,생채·무침류
269,장아찌,오이장아찌,Cucumbers Pickled in Soy Sauce or Red Chili Pepper Paste,"Salted cucumbers pickled in a mixture of vinegar, soy sauce and sugar, or put into a jar of red chili pepper paste or soybean paste (doenjang). Keeps for a long period and is served as a side dish.",오이장아찌,장아찌·절임류
270,장아찌,오이지,Cucumbers Pickled in Salt Water ,Cucumbers pickled by pouring hot salt water over them and letting them sit for a long time.,오이지,장아찌·절임류
271,회,오징어무침,Seasoned Squid ,Blanched squid slices and vegetables mixed with a red chili pepper sauce.,오징어무침_채소,생채·무침류
272,순대,오징어순대,Stuffed Squid ,A cleaned squid stuffed with a mixture of dubu (soybean curd ,오징어순대,찜류
273,젓갈,오징어젓,Pickled Squid ,Slices of fresh squid pickled in salt with red chili pepper powder.,오징어젓_양념,장아찌·절임류
274,마른찬,오징어채무침,Seasoned Dried Squid Strips ,Thin strips of dried squid mixed in a spicy red chili pepper sauce or seasoned soy sauce.,오징어채무침,생채·무침류
275,"전,적,튀김",완자전,Pan-fried Beef Patties (2) ,"Patties of minced beef, dubu (soybean curd ",완자전_돼지고기,전·적 및 부침류
276,"전,적,튀김",완자전,Pan-fried Beef Patties (2) ,"Patties of minced beef, dubu (soybean curd ",완자전_쇠고기,전·적 및 부침류
277,"전,적,튀김",완자전,Pan-fried Beef Patties (2) ,"Patties of minced beef, dubu (soybean curd ",완자전_참치,전·적 및 부침류
278,"전,적,튀김",완자전,Pan-fried Beef Patties (2) ,"Patties of minced beef, dubu (soybean curd ",완자전_해물,전·적 및 부침류
279,"전,적,튀김",완자전,Pan-fried Beef Patties (2) ,"Patties of minced beef, dubu (soybean curd ",완자전_(삼삼한밥상(Ⅶ))두부해물완자,전·적 및 부침류
280,"전,적,튀김",완자전,Pan-fried Beef Patties (2) ,"Patties of minced beef, dubu (soybean curd ",완자전_쇠고기(동그랑땡/육원전),전·적 및 부침류
281,조림,우엉조림,Glazed Burdock ,"Burdock simmered in soy sauce, sesame oil, and sugar until glazed and garnished with sesame seeds and red chili pepper threads.",우엉조림,조림류
282,음청류,유자차,Citron Tea,A tea made by adding hot water to a mixture of citron peel and honey or sugar syrup resembling marmalade.,유자차_(카페 봄봄)유자티,음료 및 차류
283,"국,탕",육개장,Spicy Beef and Leek Soup,"A soup made with beef, green onions, fiddleheads, and other vegetables in a spicy red broth seasoned with red chili pepper powder, garlic, and soy sauce.",육개장,국 및 탕류
284,"국,탕",육개장,Spicy Beef and Leek Soup,"A soup made with beef, green onions, fiddleheads, and other vegetables in a spicy red broth seasoned with red chili pepper powder, garlic, and soy sauce.",육개장_닭고기,국 및 탕류
285,"국,탕",육개장,Spicy Beef and Leek Soup,"A soup made with beef, green onions, fiddleheads, and other vegetables in a spicy red broth seasoned with red chili pepper powder, garlic, and soy sauce.",육개장_쇠고기,국 및 탕류
286,회,육회,Korean Beef Steak Tartare,"Thinly sliced raw beef seasoned with soy sauce, salt and sesame oil. Similar to steak tartare, this dish is usually served with julienned Korean pear and garlic.",육회,수·조·어·육류
287,떡,인절미,Sweet Rice Cake,"A rice cake made of steamed glutinous rice that is beaten to make a firm, sticky dough. The rice cake is cut into squares and coated in ground beans or black sesame seeds to prevent them from sticking together and give them flavor.",인절미,"곡류, 서류 제품"
288,떡,인절미,Sweet Rice Cake,"A rice cake made of steamed glutinous rice that is beaten to make a firm, sticky dough. The rice cake is cut into squares and coated in ground beans or black sesame seeds to prevent them from sticking together and give them flavor.",인절미_콩고물,"곡류, 서류 제품"
289,떡,인절미,Sweet Rice Cake,"A rice cake made of steamed glutinous rice that is beaten to make a firm, sticky dough. The rice cake is cut into squares and coated in ground beans or black sesame seeds to prevent them from sticking together and give them flavor.",인절미_팥고물,"곡류, 서류 제품"
290,나물,잡채,Japchae (Clear Noodles Stir-fried with Vegetables),"Vegetables and beef pan-fried separately then mixed with clear noodles, soy sauce, and other seasonings. One of the most popular party dishes, this dish is often seen at special banquets.",잡채,볶음류
291,나물,잡채,Japchae (Clear Noodles Stir-fried with Vegetables),"Vegetables and beef pan-fried separately then mixed with clear noodles, soy sauce, and other seasonings. One of the most popular party dishes, this dish is often seen at special banquets.",잡채_어묵,볶음류
292,나물,잡채,Japchae (Clear Noodles Stir-fried with Vegetables),"Vegetables and beef pan-fried separately then mixed with clear noodles, soy sauce, and other seasonings. One of the most popular party dishes, this dish is often seen at special banquets.",잡채_콩나물,볶음류
293,나물,잡채,Japchae (Clear Noodles Stir-fried with Vegetables),"Vegetables and beef pan-fried separately then mixed with clear noodles, soy sauce, and other seasonings. One of the most popular party dishes, this dish is often seen at special banquets.",잡채_(삼삼한밥상(Ⅶ))유부 우엉 잡채,볶음류
294,나물,잡채,Japchae (Clear Noodles Stir-fried with Vegetables),"Vegetables and beef pan-fried separately then mixed with clear noodles, soy sauce, and other seasonings. One of the most popular party dishes, this dish is often seen at special banquets.",잡채_고추,볶음류
295,죽,잣죽,Pine Nut Porridge,A rice porridge cooked with pine nuts.,잣죽,죽 및 스프류
296,구이,장어구이,Grilled Freshwater Eel,"Eel marinated in a sauce of red chili pepper paste, soy sauce, sugar, green onions, garlic and sesame oil and grilled. The eel can also be lightly steamed, coated with a mixture of soy sauce and sugar, and then grilled.",장어구이_고추장,구이류
297,구이,장어구이,Grilled Freshwater Eel,"Eel marinated in a sauce of red chili pepper paste, soy sauce, sugar, green onions, garlic and sesame oil and grilled. The eel can also be lightly steamed, coated with a mixture of soy sauce and sugar, and then grilled.",장어구이_붕장어_소금,구이류
