id,카테고리명,분류기준,식품명,설명,ingre,recipe
396,분식,튀김류,게살로제 아란치니,Fried rice balls made with crab meat and rose sauce.,"Rice, Onion, Minced Garlic, Crab Meat, Crab Salose Pasta Sauce, Pepper, Flour, Egg, Breadcrumbs, Parmigiano Reggiano, Crab Salose Sauce","Heat oil in a pan and fry minced onion and minced garlic, then add crab meat and stir-fry. You can also add cooking wine. Make fried rice with 3 tablespoons of crab salad pasta sauce, rice and pepper. Add soy sauce and salt to your liking. Cool the fried rice and make bite-sized rice balls. Coat the rice balls in flour, egg water, and breadcrumbs in that order. Deep-fry in preheated oil. Warm the crab salad pasta sauce. Serve with crab salad pasta sauce in a bowl."
397,제과/제빵,과자류,산딸기 에클레어,This is a baked dessert filled with raspberry cream in a gou dough.,"Milk, water, unsalted butter, salt, soft flour, egg, fresh cream, sugar, raspberry jam, raspberry","Put milk, water, butter and salt in a pot and bring to a boil. When it boils, turn off the heat, add soft flour and mix well with a spatula. Turn the heat back on and continue to heat while stirring until a thin film forms on the bottom of the pot. Transfer the dough to a bowl and add the beaten eggs little by little while mixing. Add all the eggs and mix well, then pour the dough into a piping bag fitted with a shape tip. In an oven pan lined with Teflon sheets, knead the dough to a length of 10 cm. After spraying water evenly on the dough, put it in an oven preheated to 190 degrees and bake for 15 to 18 minutes. Transfer the baked Shu to a cooling rack to cool completely. Put whipped cream and sugar in a bowl and whip to 80% concentration. Cut the top of the baked gouache and add cream, raspberry jam and raspberries. Decorate the top with cream, raspberries and herbs to finish."
398,간식,빵류,과일꽃샌드위치,A dessert made with plenty of seasonal fruits and whipped cream.,"Bread, strawberry, kiwi, mandarin orange, fresh cream, sugar, condensed milk",Cut the top of the strawberry and cut the upper part into a tulip shape. Slice the kiwi into 1cm thick squares and cut the rest into 0.5cm thick squares. Place the trimmed fruit on a kitchen towel to prevent the juice from seeping into the whipped cream and put it on until just before use. Lay out the wrap and place the bread> fresh cream> trimmed fruit> fresh cream> white bread to complete the fruit sandwich.
399,분식,김밥류,두부김밥,It is kimbap with tofu instead of rice to reduce calories.,"seaweed, tofu, yellow paprika, red paprika, eggs, pickled radish, stewed burdock, soy sauce, sesame oil, sesame, salt, cooking oil","Slice the paprika after removing the seeds. Dry the tofu with a cotton cloth. Add soy sauce, sesame oil and sesame seeds to the drained tofu and mix as if mashed. Beat the eggs evenly and fry the zidane in the pan. Fry the seasoned tofu with a little oil in a pan to evaporate the moisture. Nori>Zidane>Tofu>Paprika, pickled radish, and burdock are added and rolled up to make kimbap. Dip the tip of seaweed with water or sesame oil to dry the seaweed well."
400,간식,빵류,바나나찐빵,Steamed bun made with banana jam.,"Banana, brown sugar, lemon juice, cinnamon powder, wheat flour, milk, sugar, baking powder, salt, banana jam","[Banana Jam] Cut bananas into appropriate sizes. Put the banana, brown sugar, and lemon juice in a pot and bring to a boil while stirring. When the banana is crushed, add the cinnamon powder. [Banana Steamed Bread] Put flour, baking powder, salt and sugar in a bowl and mix well. Add milk little by little to make a dough. Put the dough in the muffin cup > banana jam > dough in the order. Fill only about 2/3 of the muffin cup. Put the muffin cup with the dough in the steamer and steam for 20-25 minutes. Serve with bananas or maple syrup according to your taste."
401,생선/해산물,생선/해산물,가자미버터구이,This dish is grilled flounder with butter.,"Flounder, salt, pepper, asparagus, lemon, butter, flour, butter, lemon juice, salt, pepper, parsley powder","Season the halibut with salt and pepper. Squeeze the lemon juice. The ground flounder is dusted with flour on both sides. Heat olive oil in a pan and fry the flounder. Add butter and when the flounder is cooked about 2/3, add asparagus and cook until it's done. Pouring butter on the flounder brings out the flavor. Put the sauce ingredients in the pan where the flounder is roasted and bring to a boil over low heat. Place flounder, asparagus lemon on a plate, and sprinkle with sauce and parsley powder to finish."
402,한식,볶음류,오징어볶음,"Stir-fry chewy squid in sweet and spicy seasoning and mix it with rice, and eat it in a bowl!","Squid, green onion, cabbage, onion, cheongyang pepper, red pepper paste, red pepper powder, soy sauce, cooking wine, sugar, pepper, sesame oil, starch syrup, minced garlic","Prepare the squid by peeling it and cutting it with a sheath. Slice the cabbage and onion, and cut the green onion and cheongyang pepper diagonally. Put some seasoning in a bowl and make a sauce. Blanch the squid in boiling water for about 10 seconds. Heat oil in a preheated pan and fry the prepared cabbage and onion. When the cabbage becomes transparent, add the prepared seasoning and blanched squid and stir-fry. When the seasoning is well mixed, add green onion and cheongyang red pepper and stir-fry to finish."
403,간식,빵류,사과코코넛도넛,A donut that combines the sweetness of apples and the savory flavor of coconut.,"Apple, tempura powder, coconut long or coconut powder, maple syrup, tempura powder, water","Cut the apple into 1~2cm thick and remove the seeds to make a donut shape. Mix tempura powder and water to make tempura dough. Coat the apples in the order of frying powder>fried dough>coconut long. Put it in the air fryer and bake at 180℃ for 10 minutes, then turn over and bake for 5 minutes. Put it in the air fryer bowl and sprinkle with maple syrup to finish. Sprinkle cinnamon powder if you like."
404,디저트,케이크류,옥수수케이크,A cake baked with cream cheese on a cake sheet filled with fragrant corn flour.,"Commercially available cheesecake, canned corn, whipped cream, milk, egg yolk, sugar, canned corn, cream cheese","[Corn Cream] Grind corn and milk well with a hand blender, then put it in a pot and heat it up. Strain the heated corn milk through a sieve. Put egg yolk and sugar in a bowl and mix well with a hand whisk. Add the sifted corn milk to the yolk and mix. Transfer it back to the pot and boil it to about 80 degrees while stirring well with a silicone spatula over low heat. Remove from the heat and cool in ice water. Put cream cheese in a bowl and mix well with a hand mixer. Add 80g of cooled corn cream and 3 tablespoons of canned corn and mix well. Put commercially available cheesecake > corn cream > whipped cream in a transparent container and decorate the top with corn and herbs to finish."
405,간식,과자류,라이스페이퍼과자,Use rice paper to make sweets in three flavors.,"Rice Paper, Cooking Oil, Corn Soup Powder, Curry Powder, Sugar, Cinnamon Powder, Sugar","Cut the rice paper into appropriate size. You can cut it into various shapes. Laomette natural ceramic double-sided board Put the rice paper in preheated oil and lightly fry it. Cool the fried rice paper slightly. [Corn Chip Flavor] Add fried rice paper and corn soup powder to a sanitary plastic and shake to mix. [Curry Flavor] Add fried rice paper, curry powder, and sugar in a sanitary plastic and shake to mix. [Cinnamon Flavor] Add fried rice paper, cinnamon powder, and sugar in a sanitary plastic and shake to mix."
406,양식,스테이크류,치킨함박스테이크,It is a softer chicken hambox steak made with chicken fillet.,"Chicken fillet, minced onion, soy sauce, sugar, sake, salt, starch, pepper, butter, cooking oil, onion, matsutake mushroom, ketchup, Worcestershire sauce, minced garlic, soy sauce, red wine, water, salt, pepper, cooking oil, egg","Shred the onion and mushroom of the sauce ingredients. Remove the tendon from the chicken tenderloin and grind it finely with a food processor. Add the remaining ingredients except for the butter and cooking oil of the chicken hamburger ingredients and knead the dough with a food processor. Heat the oil in a saucepan and fry the shredded onion, mushroom, and minced garlic. When the onion becomes transparent, add the rest of the sauce ingredients and boil it to complete the sauce. Heat cooking oil in a pan, melt the butter and fry the chicken hamburger on both sides. Put the chicken ham box cake and sauce in a bowl and top with fried eggs to finish."
407,중식,튀김류,양송이칠리탕수,It is a dish of fried mushrooms and tossed in chili sauce.,"Mushroom mushroom, tempura powder, cooking oil, carrot, green pepper, onion, minced garlic, sugar, water, ketchup, starch syrup, Sriracha sauce, soy sauce, cooking oil","Cut the oyster mushroom in two, wash it once in water and coat it with tempura powder. Deep-fry the oyster mushrooms coated in frying powder in preheated oil. Coarsely chop carrots, bell peppers and onions. Heat oil in a pan and fry carrots, green peppers, onions, and minced garlic, then add sugar. Add water, ketchup, and starch syrup and bring to a boil, then add Sriracha sauce and soy sauce. Put the fried shiitake mushrooms in a bowl and pour the sauce to finish."
408,밑반찬,조림류,오징어조림,It is a side dish made by stewing squid with an attractive chewy texture in soy sauce.,"Semi-dried squid, red pepper, whole garlic, ginger, soy sauce, water, oligosaccharide","Peel the semi-dried squid and cut it into bite-size pieces. You can peel it off easily with a kitchen towel or dishcloth. Slice the whole garlic and ginger, remove the top of the red pepper and cut it in half. Heat oil in a preheated pan, add ginger and garlic and fry. You can also fry ginger in oil first. Add soy sauce, water, and stir-fry squid. Add red pepper and stir-fry, then add oligosaccharide, sesame oil, and sesame salt to finish frying."
409,요리법,카레라이스,돼지고기매콤카레,"A spicy curry made with only pork and curry powder without onions, carrots or potatoes.","Curry block, onion, cooking wine, minced pork, cheongyang red pepper powder, sugar, red pepper oil, pepper, water","Slice the onion. Add chilli oil and onion to a pan and fry. Add pork and stir-fry, then add cooking wine, pepper, and sugar and stir-fry. When the moisture in the cooking wine evaporates, add water and curry and bring to a boil over medium heat. The consistency of the curry is created, and cheongyang red pepper powder is added and boiled to complete."
410,디저트,베이킹류,달걀케이크,"It is a dish made by separating the egg whites and yolks, foaming each, and then stacking them layer by layer.","Egg, potato starch, cooking oil","Separate the egg whites and yolks. Whip the egg white with a hand mixer to make meringue. Heat cooking oil in a pan and coat it with a kitchen towel. Put the yolk in the pan and when one side is cooked, turn it over and put the meringue. Cover with a lid and cook over low heat until done."
411,요리법,전/부침류,감자롤피자,Thinly slice the potatoes and use them instead of dough.,"Potato, potato starch, tomato sauce, onion, shiitake mushroom, cheddar cheese, pizza cheese","Finely chop the potatoes. Soak in water to remove starch and then drain. Add starch, salt and pepper to the drained potatoes and mix well. Spread out in an oven pan and bake for 15 minutes in a 180 degree preheated oven. Oven Slice the onion and shred the shiitake mushrooms according to the shape. Baked potato>Cheddar cheese>Pizza sauce>Onion, shiitake mushroom and pizza cheese. Roll it up, drizzle with olive oil and sprinkle with pepper. Bake again in an oven preheated to 200 degrees for 10 minutes."
412,한식,수프/죽류,콩수프&콩파스타,It is a good dish for a hearty meal by adding pasta noodles to fragrant bean soup.,"Butter, green onion, garlic, flour, bean soup, fresh cream, water, salt, pepper, pasta noodles, salt, pepper, parsley powder","[Bean soup] Slice the green onion and garlic thinly. Melt the butter in a pan, then add green onion and garlic and fry. Add flour and mix well, then add soybean water, fresh cream, and water. Bring to a boil while stirring continuously, then season with salt and pepper. Grind it finely using a hand blender. [Bean Pasta] Boil pasta noodles with salt in boiling water. Stir-fry the boiled pasta noodles as if they were mixed in bean soup, and sprinkle with pepper and parsley powder to finish."
413,안주,튀김류,갈릭버터칩,Microwaved crispy chips with sliced ​​garlic and butter.,"Tortilla, butter, condensed milk, mayonnaise, minced garlic, parsley powder, sliced ​​cheese","Add soft butter, condensed milk, minced garlic, and parsley powder to make garlic butter. [Making Garlic Butter Chips in the Oven] After cutting the tortillas lengthwise, apply garlic butter and bake in an oven preheated to 180 degrees for 10 minutes. Oven [Make Garlic Butter Chips in the air fryer] Temperature: 175 degrees / Time: 6 minutes > Turn 2 minutes [Making Garlic Butter Chips in Pan] Lightly heat a sheet of tortilla front and back in a pan, put garlic butter and sliced ​​cheddar cheese on top, cover with tortillas, and bake on both sides until golden brown."
414,양식,샐러드류,월도프샐러드,"A salad made with walnuts, apples, celery and mayonnaise.","Walnut, apple, celery, lettuce, mayonnaise, honey, lemon juice, salt, pepper","Fry the walnuts in a dry pan so that they do not burn. You can also put them in boiling water and peel them. Remove the seeds and cut the apples into dices. As soon as the apples are cut, soak them in water mixed with lemon juice. Cut the celery into the same size as the apple. Cut the lettuce into bite-sized pieces. Chop the walnuts into large chunks. Mix the sauce ingredients in a bowl. Add the sauce, apple, celery and walnuts and mix. Lay lettuce on a plate and top with a salad to finish. Finishing with herbs or cheese makes it even more flavorful."
415,간식,빵류,브라우니머핀,These are rich and moist muffins with plenty of dark chocolate.,"Dark chocolate, unsalted butter, soft flour, cocoa powder, salt, egg, sugar, chocolate chips","Put the dark chocolate and unsalted butter together in a bowl and melt them in the microwave for 20 seconds each. Put eggs, sugar, and salt in another bowl in the microwave and mix well with a hand mixer. Add melted chocolate and butter and mix, then sift the soft flour and cocoa powder and mix. Add 1/2 of chocolate chips and mix. Put the dough in a muffin tin lined with parchment paper, put chocolate chips on it, and bake it in an oven at 170 degrees for 15-20 minutes. Remove from the oven mold and cool completely on a cooling rack."
416,디저트,파이류,베리베리 트리플베리파이,"There are plenty of blueberry, raspberry, and blackberry three berries in 415's special pie.","Grain flour, sugar, salt, unsalted butter, cold water, almond powder, sugar, egg yolk, unsalted butter, vanilla extract, frozen blueberry, frozen raspberry, frozen strawberry, sugar, lemon juice","[Pie dough] Mix flour, sugar, and salt in a food processor, then add cold butter and mix. Add cold water and knead to form a lump, wrap in plastic wrap, and rest in the refrigerator for at least 1 hour. [Berry stew] Put frozen berries and sugar in a bowl, mix, and let marinate for about 30 minutes. When moisture is formed, transfer to a pot and simmer over high heat for 5-10 minutes. Turn off the heat, add lemon juice, mix, and cool completely. [Almond Cream] Put unsalted butter in a bowl and mix well with a hand whisk, then add sugar and mix. Add egg yolk and vanilla extract and mix, then add almond powder and mix to complete the cream. Roll out 1/2 of the rested pie dough to a thickness of 5mm and place it on the pie. Spread almond cream and top with berry stew. Roll out the remaining 1/2 of the dough to a thickness of 5mm and cut it into 0.5~1cm thick. Put the dough in a grid pattern on the pie, close the edges well, and bake it in an oven at 180 degrees for 35-40 minutes. Oven"
417,양식,파스타류,로제감바스,"Gambas al ajillo, filled with plump shrimp, is made even more delicious with rose sauce.","Shrimp, Onion, Garlic, Red Pepper Powder, Olive Oil, Cream Spaghetti Sauce, Tomato Sauce, Mushroom, Bacon, Pepperoncino, Shredded Pizza Cheese","Slice the onion and slice the garlic. Slice the mushrooms and cut the bacon into 1 cm thick. Shrimp remove the skin except for the head and tail. Heat olive oil in a pan and fry garlic, onion and pepperoncino. Slightly grill the shrimp, then add the mushrooms, bacon, and red pepper powder and stir-fry. Add the cream sauce and tomato sauce and when it boils, add the shrimp and bring to a boil over low heat. When the shrimp are fully cooked, sprinkle with cheese to finish."
418,기타,전/부침개,독일식감자전&감자쉐이크,Enjoy a delicious meal with the super-simple recipe taught by Baek Jong-won.,"Potatoes, Canned Ham, Potato Starch, Parmesan Cheese Powder, Pepper, Cooking Oil, Potatoes, Milk, Condensed Milk, Salt, Ice","Cut the potatoes into large chunks and boil them. [German Potato Jeon] Put canned ham in a sanitary plastic bag and press and mash by hand. Mash boiled potatoes in a bowl, add ham, potato starch, Parmesan cheese powder, and pepper and mix. Divide the potato dough into the desired shape. Heat oil in a frying pan and fry until golden brown on both sides. [Potato Shake] Put all the ingredients for potato shake in a blender and grind. Adjust the sugar content to your liking with condensed milk."
419,분식,튀김류,크리미어니언오징어링,Deep-fried squid with onion and cream sauce.,"Squid, flour, egg, bread crumbs, parsley powder, salt, pepper, onion, mayonnaise, plain yogurt, vinegar, sugar, pepper","Cut the squid into a ring shape about 2cm thick and season with salt and pepper. Trim the squid body so that the whole remains. Chop the onion coarsely. You can also slice it thinly. Put the squid and flour in a sanitary plastic and shake to coat it. Beat the eggs and mix the parsley into the breadcrumbs. Coat the flour-coated squid in the order of egg and breadcrumbs. Put the squid in the air fryer and bake at 180℃ for 5-7 minutes, then turn over and bake for another 3-5 minutes. Mix all the air fryer sauce ingredients and serve with squid rings."
420,요리,밥/죽류,초당옥수수밥&초당옥수수비빔국수,"Make a simple and delicious meal using Chodang Corn, a seasonal ingredient in summer.","Soaked rice 1+1/2 paper cups, Brie cheese, Chodang corn, Water 1+1/2 paper cups, Chodang corn, Buckwheat noodles, Water, Cucumber, Cherry tomato","[How to cook Chodang corn deliciously in the microwave] Leave only one layer of the inner layer of Chodang corn, wrap it in a vegetable bag with a beard and run it for 3 minutes. The corn beard tastes sweet while steaming in the microwave, so return it with the beard [Chodang Corn Cheese Rice] ] Separate the steamed corn kernels. Add the soaked rice, cheese, corn kernels, corn wick, and water. Cover with rice so that the cheese melts well. Cover with a lid and cook on high heat for 3 minutes> medium heat for 10 minutes> for low heat for 5 minutes> Turn off the heat and simmer for 5 minutes. [Chodang Corn Noodles] Separate the boiled corn kernels in the microwave. Boil buckwheat noodles in boiling water for 4 minutes, rinse in cold water and drain. Add corn kernels and water, grind finely, and pour over buckwheat noodles to finish. Add cucumber or cherry tomatoes to finish."
421,한식,찌개류,된장찌개,"Doenjang-jjigae stewed with various vegetables such as tofu, pumpkin, and onion.","Soybean paste, onion, zucchini, potato, clam, tofu, green onion, cheongyang red pepper, red pepper powder, anchovy kelp stock (one in full bloom), minced garlic","Chop the onion, zucchini, and potato into the same size for easy consumption, and cut the green onion and cheongyang pepper into pieces. Put the broth in a pot and boil it with soybean paste and minced garlic. * Put kelp and anchovies in water and boil the broth. When the broth boils, add the onion, zucchini, and potatoes and cook a little more. Add red pepper powder, tofu, green onion, and cheongyang pepper and boil for a bit."
422,간식,쿠키류,호두머랭쿠키,It is a cookie made by mixing egg whites with sugar and meringue mixed with walnuts.,"Walnut, egg white, sugar powder, vanilla extract","Bake the walnuts in an oven at 160°C for about 10 minutes to cool them and then chop them coarsely. Put the egg whites in an oven bowl and mix them lightly with a hand mixer, then add the sugar powder in 3 portions and put the meringue on top. Add chopped walnuts and vanilla extract to the meringue and mix. Scoop the meringue with a spoon in an oven pan lined with Teflon sheets, pan it, and bake it in an oven at 150 degrees for 25 to 30 minutes to complete."
423,양식,피자류,주꾸미피자,It is a dish of stir-fried jjukkumi on top of pizza dough.,"Stir-fried tortilla, whole garlic, onion, commercial octopus","Prepare the garlic and onion by dicing. Prepare the commercial octopus by frying it once in a pan. Put the tortilla on the pan and spread the seasoning evenly. Place the zucchini on top of the marinated tortilla, and add the garlic and onion. Put the pizza cheese on top, close the lid, and cook until the cheese melts. You can also melt the cheese with a torch."
424,디저트,케이크류,멜론케이크,A moist and soft cake with plenty of melon flesh.,"Commercial castella bread, melon syrup or syrup, water, fresh cream, mascarpone cheese, condensed milk, melon, melon, condensed milk, apple mint","[Melon Cake] Cut commercial castella according to the container. Remove the melon seeds and skins, cut into 5mm thick slices, and shape with a round spoon for decoration. Put the mascarpone cheese in a bowl and mix well, then add fresh cream and condensed milk and whip with a hand mixer. Mix melon syrup and water. Lay castella on a dessert container and apply syrup. Put the melon cut into 5mm thick on the sheet coated with syrup, fill in the order of cream>castella>cream, and arrange the top. Decorate with round melon and cream to finish. [Melon Sherbet] Remove the seeds and skins of melons and cut them into dices. Put melon, condensed milk, and a little apple mint in a blender and grind. Put it in a container and freeze it in the freezer for 2-3 hours, then scrape it with a fork. Repeat this process twice. Put it in a bowl and it's done."
425,분식,튀김류,무침만두,Roast the dumplings crispy and dip them in the tteok-kki sauce.,"Dumplings, cooking oil, sugar, cooking wine, starch syrup, red pepper paste, ketchup, water","Heat oil in a pan and fry the dumplings until golden brown. Place the baked dumplings on a kitchen towel to cool slightly. Put the sauce ingredients in a bowl and mix well. Put 1 tablespoon of cooking oil in a pan and boil the sauce ingredients. Add baked dumplings and toss to finish. If you have nuts, mix them together!"
426,디저트,케이크류,파블로바,This Australian dessert is served with fresh cream and fruit after baking the meringue.,"Egg white, sugar, starch, strawberry, blueberry, thyme, whipped cream","Add egg white, sugar and starch and whip until meringue is firm. Place the whipped meringue in a circle on the paper foil. Place in the air fryer preheated to 110°C~120°C and bake for 90 minutes. Trim the strawberries to be used as toppings in the air fryer. Top with whipped cream and fruit. You can also top with any fruit you like."
427,간식,스낵류,팝콘,"Corn kernels deep-fried in butter or oil, characterized by a nutty and crispy texture.","Corn, Butter, Salt, Butter, Sugar, Water, Milk, Butter 1/2 tbsp, Chocolate Chip, Milk","Add butter and salt to corn (for popcorn) and mix well. Leave the butter at room temperature to use softened butter. Put the corn mixed in the air fryer basket and cook for 10 minutes at 190 degrees. Put sugar and water in the air fryer pan and boil. When the sugar melts, add milk and butter and boil to make caramel sauce. Do not stir until the sugar is dissolved. Boil it. Put chocolate and milk in a bowl and microwave for 1 minute and 30 seconds to make chocolate sauce. Mix the popcorn cooked in the microwave air fryer with the caramel sauce and chocolate sauce, respectively."
428,한식,볶음류,주꾸미볶음,Zucchini is rich in taurine and is a good food for relieving fatigue.,"Zucchini, green onion, sesame leaf, onion, cheongyang pepper, red pepper paste, red pepper powder, soy sauce, cooking wine, sugar, pepper, sesame oil, starch syrup, minced garlic","Prepare the zucchini by trimming the large ones. Prepare sesame leaves, onions, and green onions by dicing and slicing cheongyang pepper diagonally. Put some seasoning in a bowl and make a sauce. Put the zucchini in boiling water and blanch for about 10 seconds. Heat oil in a preheated pan and fry the prepared onion and green onion. When the onion becomes transparent, add the prepared seasoning and blanched zucchini and stir-fry. When the seasoning is well mixed, add cheongyang pepper and sesame leaves and stir-fry to complete."
429,요리법,파스타류,낫토달걀파스타,It is a diet-type pasta with reduced carbohydrates by making pasta noodles using eggs.,"Egg, onion, shiitake mushroom, cheongyang pepper, garlic, salt, pepper, olive oil, sesame oil, natto, mayonnaise, soy sauce","Slice the onion, shiitake mushroom and garlic thinly. Prepare cheongyang peppers by slicing them. Mix natto with a spoon, then mix with mayonnaise and soy sauce. Beat the eggs, sift through a sieve, and season with salt. Heat olive oil in a pan, fry the zidane, roll it up and cut it. Heat olive oil in a pan and fry garlic until fragrant, then add onion and shiitake mushrooms and fry. Add noodles and sauce, mix well, add cheongyang red pepper, and season with salt and pepper. Put it in a bowl and sprinkle with sesame oil to finish."
430,디저트,케이크류,청포도무스케이크,It is a mousse cake with plenty of sweet and sour green grapes.,"Commercially available castella bread, plain yogurt, fresh cream, sugar, gelatin, fresh cream, green grape juice, gelatin, green grapes, blueberries","Cut the castella into 1cm thick and cut into a 6cm diameter circular cookie mold. Lay the cut castella on the floor and prepare the mustard. Soak the gelatin one by one in ice water, remove the water, add 1T of fresh cream, and melt it in a hot water bath. Add sugar to 150g of whipped cream and whip to 70% concentration. Add the melted gelatin to the yogurt and mix, then add the whipped cream and mix. If the yogurt is too cold, the gelatin may harden immediately. Fill the mold with castella to about 70% of the yogurt mousse and put it in the refrigerator to harden for at least 1 hour. [Green Grape Jelly] Gelatin is soaked in ice water one by one. When the yogurt mousse is hardened, prepare the jelly. Heat the green grape juice in the microwave for 30~40 seconds. Remove the water from the gelatin soaked in the microwave, put it in the heated green grape juice, mix, and then cool it down. Place green grapes and blueberries on the hardened yogurt mousse and pour green grape juice. Refrigerate for at least 1 hour to harden."
431,간식,떡류,가래떡강정,It is gangjeong made by deep-fried tteokbokki rice cakes and tossed in sweet and spicy sauce.,"Rice cake 15cm, olive oil, almond, sesame, red pepper paste, soy sauce, minced garlic, sugar, water, vinegar, oligosaccharide",Cut Garaetteok into bite-size pieces. Put the rice cakes and olive oil in a sanitary plastic and shake to mix. Put the rice cakes in the air fryer and bake at 180℃ for 10 minutes. Put all the sauce ingredients in the air fryer pan and boil over low heat. Garaetteok and almond slices are mixed with the sauce and sprinkled with sesame seeds to finish. You can also add any nuts you like.
432,양식,피자류,감자피자,Thinly sliced ​​potatoes are used as a dough for a light and savory pizza.,"Potatoes, soft flour, sliced ​​cheese, mozzarella cheese, pepperoni ham, salt, parmesan cheese, cooking oil, mayonnaise, honey, minced garlic","Cut the potatoes into bite-sized pieces and boil them in boiling water. Boil the potatoes until they are fully cooked. Mash the potatoes and knead the dough with soft flour, salt, pepper, and Parmesan cheese. Spread the potato dough in a pan like pizza dough. Potato dough> Put mozzarella cheese, ham, and sliced ​​cheese on top. Grease the edges with cooking oil, cover with a lid, and bake over low heat for 4 minutes. Mix the sauce ingredients and serve with the baked potato pizza."
433,한식,구이류,항정살된장구이&세발나물무침,432 Air Fryer Roasted Soybean Paste & Tribal Vegetables,"Pork belly, green onion, garlic, tribal greens, onion, soybean paste, soy sauce, cooking wine, pepper, red pepper powder, sugar, vinegar, fish sauce, sesame oil, sesame","Cut the green onion in half lengthwise and cut it into 4~5cm pieces, and cut the garlic into pieces. After mixing all the seasoning ingredients, mix it with the meat and season it. Put the seasoned pork belly in the air fryer and bake at 180℃ for 10 minutes. Turn over the air fryer and put the green onion and garlic in the air fryer and bake at 180℃ for 10 minutes. [Sepal namul] Slice the onion thinly. Mix all the seasoning ingredients, add seasoning little by little to the chopped onion and tribal greens. Seasonal vegetables are also good."
434,요리,샐러드류,참치타다키&딸기샐러드,Tataki tuna and strawberry salad are the perfect side dish for wine.,"Tuna, sesame, pepper, sesame oil, olive oil, strawberry, angelica leaf, young leaf vegetable, cheongyang pepper, apple mint, olive oil, lemon juice, sugar, pepper","[Tuna Tataki] Mix sesame seeds and pepper and spread evenly over the surface of the tuna. Add sesame oil and olive oil to a heated pan and cook the outer surface of the tuna while rolling it. [Strawberry Salad] Cut the strawberries into small pieces and cut the cheongyang pepper into pieces. You can also use frozen strawberries. Mix all dressing ingredients in a bowl. Add dressing to strawberries, angelica leaves, young leaf vegetables, cheongyang pepper, and apple mint and mix. Cut the tuna tataki into bite-size pieces, place in a bowl, and serve with salad."
435,요리법,튀김/부침류,치즈스틱&닭가슴살구이,Make cheese sticks and grilled chicken breast using rice paper.,"Rice paper, string cheese, sliced ​​cheese, cooking oil, rice paper, chicken breast, cooking oil, soy sauce, salt, pepper, sriracha sauce, mayonnaise, soy sauce, lemon juice, chungyang pepper","[Rice Paper Cheese Stick] Cut the string cheese in half and the sliced ​​cheese into quarters. After soaking the rice paper in water, put string cheese and sliced ​​cheese on it. Put the rolled rice paper in the air fryer basket, sprinkle with cooking oil, and turn it over at 180 degrees for 10 minutes and bake for 5 minutes to complete the rice paper cheese stick. Air fryer It is convenient to use oil spray [Roasted Chicken Breast on Rice Paper] Cut the chicken breast into bite-sized pieces. Season the chicken breast with soy sauce, salt and pepper. Place ground chicken breast on rice paper and roll it around. Put the rolled chicken breasts in the air fryer basket, drizzle with cooking oil, then turn over at 190 degrees for 10 minutes and bake for 5 minutes. Mix and serve each sauce ingredient to complete the grilled chicken breast rice paper."
436,간식,쿠키류,토스트쿠키,This is a cute cookie with a fried egg on a white bread-shaped cookie with icing.,"Unsalted butter, sugar powder, egg, vanilla extract, soft flour, cocoa powder, baking powder, unsalted butter, sugar powder, egg, vanilla extract, soft flour, baking powder, sugar powder, egg white, lemon juice, warm water, edible pigment","[Plain dough/cocoa dough] Soften unsalted butter, add sugar powder, and mix with a hand whisk. When the sugar powder is all mixed, add the egg and vanilla extract and mix. Sift the soft flour and baking powder and mix with a rubber spatula. For the cocoa dough, sieve the soft flour, cocoa powder, and baking powder together and mix. Put the cocoa dough in a zipper bag and roll it out to a thickness of 3mm, then let it rest in the freezer for at least 10 minutes. The plain dough is made into a square shape of 1.5cm diameter x 10cm long cylinder, 3cm wide x 4cm long x 10cm long. Cut the cylinder in half and attach it to both ends of the rectangle, then cover the outside with cocoa dough. Cover with cling film and chill in the freezer for about 10 minutes. Cut the cookie dough into 5mm thick with a knife and bake it in an oven at 170 degrees for 10 minutes, then completely cool it on a cooling rack. Put sugar powder, egg white, and lemon juice in an oven [icing] bowl and mix well. Add hot water little by little to get the desired consistency, then add food coloring to make the desired color. Decorate the baked cookies with icing and complete."
437,요리,샌드위치류,당근라페샌드위치,Make an open sandwich using carrot latte.,"Whole wheat bread, cream cheese, avocado, carrot, whole grain mustard, lemon juice, honey, olive oil, salt, pepper","[Carrot Laffe] Slice carrots thinly using a slicing knife. Put all the ingredients for the carrot latte in a bowl and mix. It is best to eat the carrot latte after aging it in the refrigerator for about a day. Toast whole wheat bread in a dry pan. Cut the avocado in half, remove the seeds and skin, and slice thinly. Spread cream cheese on whole-wheat bread and top with avocado and carrot latte to finish."
438,한식,탕/찌개류,동태탕,"We will show you how to cook Dongtaetang, a delicious and refreshing soup.","Dongtae, radish, bean sprouts, green onion, sagebrush, enoki mushroom, anchovy stock, anchovy kelp stock, red pepper powder, soybean paste, soy sauce, minced garlic, cooking wine, pepper","Slice the radish, cut the green onion diagonally, and prepare the mugwort and enoki mushrooms by removing the bottom. Put the seasoning ingredients in a bowl to make the sauce. Add sliced ​​radish to the anchovy stock, add half of the seasoning sauce, and boil for about 10 minutes. Add dongtae and bean sprouts, add the rest of the seasoning sauce and bring to a boil. Add green onion, mugwort, and enoki mushrooms and boil for about 5 minutes."
